Precinct	total_votes	votes|Lori Lightfoot	votes|Toni Preckwinkle
38031	267	208	59
38032	209	173	36
38033	216	162	54
38034	268	204	64
38035	249	197	52
38036	218	175	43
38037	242	206	36
38038	235	206	29
38039	287	224	63
38040	248	206	42
38041	267	217	50
39001	338	285	53
39002	371	259	112
39003	335	272	63
39004	342	298	44
39005	300	236	64
39006	265	208	57
39007	289	222	67
39008	337	256	81
39009	286	211	75
39010	170	115	55
39011	290	239	51
39012	330	233	97
39013	222	163	59
39014	308	251	57
39015	355	312	43
39016	173	126	47
39017	361	291	70
39018	303	219	84
39019	331	258	73
39020	414	353	61
39021	290	251	39
39022	200	133	67
39023	361	326	35
39024	461	403	58
39025	180	123	57
39026	323	270	53
39027	63	52	11
39028	425	326	99
39029	126	84	42
39030	341	237	104
39031	254	182	72
39032	251	185	66
39033	354	241	113
39034	276	198	78
39035	306	222	84
39036	85	63	22
39037	350	279	71
39038	212	170	42
39039	227	186	41
39040	324	273	51
39041	389	325	64
39042	398	337	61
39043	352	302	50
39044	306	250	56
39045	347	298	49
40001	296	215	81
40002	318	243	75
40003	432	310	122
40004	222	158	64
40005	396	281	115
40006	432	289	143
40007	381	292	89
40008	460	319	141
40009	264	187	77
40010	281	215	66
40011	404	313	91
40012	297	235	62
40013	521	330	191
40014	234	178	56
40015	306	219	87
40016	508	360	148
40017	339	242	97
40018	209	144	65
40019	395	273	122
40020	303	215	88
40021	447	348	99
40022	383	308	75
40023	481	347	134
40024	259	157	102
40025	455	326	129
40026	383	282	101
40027	434	287	147
40028	384	244	140
40029	380	287	93
40030	408	288	120
40031	417	300	117
40032	439	315	124
40033	412	286	126
40034	279	203	76
40035	200	127	73
40036	357	274	83
40037	293	209	84
40038	421	285	136
40039	82	63	19
41001	274	251	23
41002	312	282	30
41003	319	274	45
41004	349	321	28
41005	323	285	38
41006	385	340	45
41007	351	311	40
41008	337	302	35
41009	300	254	46
41010	397	355	42
41011	340	301	39
41012	303	257	46
41013	381	323	58
41014	382	339	43
41015	419	376	43
41016	306	284	22
41017	329	271	58
41018	301	266	35
41019	363	322	41
41020	242	194	48
41021	360	302	58
41022	371	343	28
41023	299	252	47
41024	271	239	32
41025	122	103	19
41026	283	255	28
41027	181	147	34
41028	193	140	53
41029	132	101	31
41030	308	261	47
41031	427	328	99
41032	254	221	33
41033	296	259	37
41034	305	270	35
41035	415	393	22
41036	328	286	42
41037	356	310	46
41038	275	248	27
41039	351	305	46
41040	347	317	30
41041	349	316	33
41042	322	278	44
41043	336	297	39
41044	347	312	35
41045	271	237	34
41046	333	296	37
41047	337	302	35
42001	336	282	54
42002	251	218	33
42003	266	222	44
42004	457	388	69
42005	236	217	19
42006	426	344	82
42007	366	315	51
42008	323	257	66
42009	298	245	53
42010	332	278	54
42011	276	222	54
42012	308	264	44
42013	387	317	70
42014	280	240	40
42015	263	238	25
42016	300	250	50
42017	345	299	46
42018	212	182	30
42019	436	361	75
42020	253	228	25
42021	249	218	31
42022	146	136	10
42023	326	279	47
42024	348	303	45
42025	298	244	54
42026	365	296	69
42027	258	214	44
42028	403	337	66
42029	296	242	54
42030	367	316	51
42031	327	267	60
42032	269	239	30
42033	334	250	84
42034	319	272	47
42035	344	289	55
42036	356	307	49
42037	206	181	25
42038	276	240	36
42039	285	246	39
42040	340	270	70
42041	269	223	46
42042	415	350	65
43001	220	184	36
43002	355	295	60
43003	349	308	41
43004	302	256	46
43005	322	288	34
43006	205	176	29
43007	249	204	45
43008	251	204	47
43009	379	322	57
43010	447	389	58
43011	267	226	41
43012	222	181	41
43013	315	242	73
43014	449	404	45
43015	327	276	51
43016	303	256	47
43017	262	220	42
43018	397	330	67
43019	373	317	56
43020	382	327	55
43021	314	267	47
43022	206	170	36
43023	196	170	26
43024	272	217	55
43025	311	257	54
43026	298	246	52
43027	364	303	61
43028	402	329	73
43029	339	279	60
43030	336	286	50
43031	348	290	58
43032	331	264	67
43033	378	313	65
43034	269	220	49
43035	387	322	65
43036	130	103	27
43037	273	217	56
43038	323	277	46
43039	240	194	46
43040	203	152	51
43041	420	345	75
43042	282	230	52
43043	350	294	56
43044	306	252	54
43045	248	214	34
43046	163	140	23
44001	492	398	94
44002	348	293	55
44003	302	252	50
44004	317	261	56
44005	319	244	75
44006	398	294	104
44007	287	240	47
44008	407	320	87
44009	299	254	45
44010	275	232	43
44011	342	284	58
44012	356	292	64
44013	229	201	28
44014	260	205	55
44015	312	238	74
44016	348	286	62
44017	457	361	96
44018	259	204	55
44019	404	321	83
44020	243	198	45
44021	332	269	63
44022	400	327	73
44023	260	191	69
44024	300	243	57
44025	305	244	61
44026	367	296	71
44027	362	294	68
44028	248	193	55
44029	305	240	65
44030	370	296	74
44031	231	187	44
44032	356	271	85
44033	297	234	63
44034	383	320	63
44035	469	388	81
44036	312	251	61
44037	360	300	60
44038	262	224	38
44039	302	244	58
44040	304	244	60
44041	371	270	101
45001	230	168	62
45002	256	166	90
45003	261	205	56
45004	354	275	79
45005	321	267	54
45006	437	342	95
45007	396	322	74
45008	257	197	60
45009	255	204	51
45010	248	196	52
45011	174	145	29
45012	244	191	53
45013	249	206	43
45014	313	245	68
45015	353	254	99
45016	263	201	62
45017	296	230	66
45018	264	203	61
45019	117	90	27
45020	174	137	37
45021	263	218	45
45022	221	186	35
45023	247	209	38
45024	234	205	29
45025	179	150	29
45026	151	118	33
45027	257	219	38
45028	219	190	29
45029	175	142	33
45030	249	194	55
45031	208	164	44
45032	220	169	51
45033	198	161	37
45034	276	231	45
45035	349	286	63
45036	315	274	41
45037	262	207	55
45038	245	211	34
45039	260	212	48
45040	270	234	36
45041	269	236	33
45042	293	264	29
45043	306	272	34
45044	334	285	49
45045	201	187	14
45046	199	167	32
45047	209	196	13
45048	249	210	39
46001	330	221	109
46002	326	235	91
46003	454	356	98
46004	378	266	112
46005	347	263	84
46006	305	210	95
46007	444	341	103
46008	257	149	108
46009	391	286	105
46010	434	350	84
46011	306	211	95
46012	408	283	125
46013	318	264	54
46014	299	172	127
46015	328	252	76
46016	432	313	119
46017	421	326	95
46018	416	322	94
46019	303	237	66
46020	309	230	79
46021	232	154	78
46022	300	185	115
46023	290	202	88
46024	418	332	86
46025	389	276	113
46026	357	243	114
46027	449	327	122
46028	414	308	106
46029	319	237	82
46030	349	267	82
46031	323	233	90
46032	413	277	136
46033	408	333	75
46034	381	280	101
46035	380	264	116
46036	364	292	72
46037	282	178	104
46038	282	197	85
46039	340	265	75
46040	339	263	76
47001	214	172	42
47002	463	355	108
47003	470	385	85
47004	438	360	78
47005	393	267	126
47006	405	312	93
47007	320	252	68
47008	430	363	67
47009	323	261	62
47010	452	343	109
47011	336	283	53
47012	474	375	99
47013	374	248	126
47014	401	328	73
47015	432	259	173
47016	429	307	122
47017	395	314	81
47018	366	290	76
47019	479	324	155
47020	378	274	104
47021	381	258	123
47022	457	341	116
47023	456	284	172
47024	387	301	86
47025	430	317	113
47026	447	332	115
47027	338	251	87
47028	402	305	97
47029	409	325	84
47030	483	348	135
47031	364	259	105
47032	478	337	141
47033	354	282	72
47034	427	318	109
47035	437	352	85
47036	438	295	143
47037	418	302	116
47038	400	291	109
47039	416	319	97
47040	443	310	133
47041	420	313	107
47042	402	256	146
47043	378	300	78
47044	317	240	77
47045	387	291	96
47046	394	313	81
47047	449	363	86
47048	42	27	15
48001	343	252	91
48002	206	152	54
48003	341	242	99
48004	339	236	103
48005	264	180	84
48006	367	258	109
48007	337	262	75
48008	207	155	52
48009	227	171	56
48010	544	373	171
48011	344	249	95
48012	433	316	117
48013	462	344	118
48014	213	159	54
48015	187	142	45
48016	320	201	119
48017	327	239	88
48018	268	187	81
48019	271	196	75
48020	413	293	120
48021	422	285	137
48022	360	266	94
48023	408	289	119
48024	346	229	117
48025	377	265	112
48026	129	96	33
48027	298	196	102
48028	342	229	113
48029	264	177	87
48030	343	232	111
48031	352	236	116
48032	322	216	106
48033	246	186	60
48034	315	219	96
48035	239	163	76
48036	245	180	65
48037	349	247	102
48038	432	325	107
48039	305	226	79
48040	318	236	82
48041	348	211	137
48042	431	287	144
48043	334	222	112
48044	451	302	149
48045	256	168	88
48046	228	157	71
49001	189	130	59
49002	196	132	64
49003	365	247	118
49004	395	221	174
49005	397	246	151
49006	272	181	91
49007	284	179	105
49008	251	175	76
49009	302	191	111
49010	312	204	108
49011	353	226	127
49012	420	257	163
49013	358	245	113
49014	287	179	108
49015	218	153	65
49016	309	184	125
49017	201	127	74
49018	420	246	174
49019	248	162	86
49020	465	275	190
49021	169	109	60
49022	338	213	125
49023	393	235	158
49024	218	141	77
49025	414	271	143
49026	353	233	120
49027	318	201	117
49028	425	246	179
49029	368	206	162
49030	342	206	136
49031	258	196	62
49032	300	197	103
49033	260	170	90
50001	244	171	73
50002	140	109	31
50003	233	168	65
50004	237	176	61
50005	160	122	38
50006	278	195	83
50007	335	272	63
50008	218	149	69
50009	203	147	56
50010	170	118	52
50011	161	137	24
50012	96	68	28
50013	224	155	69
50014	97	69	28
50015	335	246	89
50016	90	78	12
50017	164	112	52
50018	64	44	20
50019	107	68	39
50020	227	137	90
50021	199	141	58
50022	169	111	58
50023	143	104	39
50024	184	140	44
50025	219	173	46
50026	174	113	61
50027	71	47	24
50028	248	165	83
50029	133	91	42
50030	137	95	42
50031	210	135	75
50032	218	141	77
50033	213	174	39
50034	363	262	101
50035	311	220	91
50036	239	161	78
50037	271	209	62
50038	133	89	44
50039	117	95	22
50040	224	170	54
