Precinct	total_votes	votes|Michael Cabonargi
50030	83	83
50031	157	157
50032	136	136
50033	128	128
50034	213	213
50035	230	230
50036	162	162
50037	177	177
50038	78	78
50039	68	68
50040	120	120
Elk Grove 1	212	212
Elk Grove 5	303	303
Elk Grove 6	103	103
Elk Grove 7	240	240
Elk Grove 8	146	146
Elk Grove 10	276	276
Elk Grove 11	187	187
Elk Grove 14	82	82
Elk Grove 16	243	243
Elk Grove 19	176	176
Elk Grove 23	179	179
Elk Grove 24	107	107
Elk Grove 25	153	153
Elk Grove 26	98	98
Elk Grove 27	153	153
Elk Grove 30	116	116
Elk Grove 34	335	335
Elk Grove 37	49	49
Elk Grove 41	95	95
Elk Grove 44	86	86
Elk Grove 46	84	84
Elk Grove 48	116	116
Evanston Ward 1 Precinct 1	149	149
Evanston Ward 1 Precinct 2	282	282
Evanston Ward 1 Precinct 3	307	307
Evanston Ward 1 Precinct 4	413	413
Evanston Ward 2 Precinct 1	455	455
Evanston Ward 2 Precinct 2	236	236
Evanston Ward 2 Precinct 3	227	227
Evanston Ward 2 Precinct 4	341	341
Evanston Ward 2 Precinct 5	254	254
Evanston Ward 3 Precinct 1	305	305
Evanston Ward 3 Precinct 2	364	364
Evanston Ward 3 Precinct 3	345	345
Evanston Ward 3 Precinct 4	174	174
Evanston Ward 3 Precinct 5	277	277
Evanston Ward 3 Precinct 6	304	304
Evanston Ward 3 Precinct 7	294	294
Evanston Ward 4 Precinct 1	175	175
Evanston Ward 4 Precinct 2	284	284
Evanston Ward 4 Precinct 3	160	160
Evanston Ward 4 Precinct 4	466	466
Evanston Ward 4 Precinct 5	190	190
Evanston Ward 4 Precinct 6	378	378
Evanston Ward 5 Precinct 1	198	198
Evanston Ward 5 Precinct 2	317	317
Evanston Ward 5 Precinct 3	232	232
Evanston Ward 5 Precinct 4	111	111
Evanston Ward 6 Precinct 1	532	532
Evanston Ward 6 Precinct 2	288	288
Evanston Ward 6 Precinct 3	281	281
Evanston Ward 6 Precinct 4	345	345
Evanston Ward 6 Precinct 5	422	422
Evanston Ward 6 Precinct 6	220	220
Evanston Ward 6 Precinct 7	436	436
Evanston Ward 7 Precinct 1	496	496
Evanston Ward 7 Precinct 2	500	500
Evanston Ward 7 Precinct 3	77	77
Evanston Ward 7 Precinct 4	312	312
Evanston Ward 7 Precinct 5	441	441
Evanston Ward 7 Precinct 6	18	18
Evanston Ward 8 Precinct 1	339	339
Evanston Ward 8 Precinct 2	221	221
Evanston Ward 8 Precinct 3	206	206
Evanston Ward 8 Precinct 4	333	333
Evanston Ward 8 Precinct 5	327	327
Evanston Ward 9 Precinct 1	222	222
Evanston Ward 9 Precinct 2	287	287
Evanston Ward 9 Precinct 3	429	429
Evanston Ward 9 Precinct 4	397	397
Evanston Ward 9 Precinct 5	239	239
Evanston Ward 9 Precinct 6	288	288
Leyden 23	199	199
Maine 6	212	212
Maine 7	101	101
Maine 8	129	129
Maine 10	122	122
Maine 11	85	85
Maine 12	116	116
Maine 13	144	144
Maine 14	187	187
Maine 16	128	128
Maine 17	133	133
Maine 18	116	116
Maine 19	80	80
Maine 20	92	92
Maine 21	166	166
Maine 22	180	180
Maine 24	225	225
Maine 25	173	173
Maine 26	142	142
Maine 27	122	122
Maine 29	206	206
Maine 30	332	332
Maine 32	81	81
Maine 34	155	155
Maine 35	8	8
Maine 36	123	123
Maine 37	128	128
Maine 38	82	82
Maine 39	127	127
Maine 41	97	97
Maine 42	208	208
Maine 43	93	93
Maine 44	111	111
Maine 46	117	117
Maine 47	143	143
Maine 48	188	188
Maine 49	123	123
Maine 50	112	112
Maine 52	159	159
Maine 53	98	98
Maine 54	161	161
Maine 55	120	120
Maine 58	127	127
Maine 59	121	121
Maine 60	199	199
Maine 61	64	64
Maine 62	75	75
Maine 63	106	106
Maine 65	75	75
Maine 67	162	162
Maine 68	102	102
Maine 71	69	69
Maine 72	120	120
Maine 74	139	139
Maine 75	120	120
Maine 76	70	70
Maine 77	193	193
Maine 79	121	121
Maine 80	136	136
Maine 82	129	129
Maine 83	82	82
Maine 85	65	65
Maine 87	75	75
Maine 88	65	65
Maine 90	59	59
Maine 91	206	206
New Trier 3	238	238
New Trier 8	131	131
New Trier 9	179	179
New Trier 10	168	168
New Trier 11	194	194
New Trier 12	172	172
New Trier 13	275	275
New Trier 14	192	192
New Trier 15	259	259
New Trier 16	215	215
New Trier 17	252	252
New Trier 18	161	161
New Trier 19	72	72
New Trier 20	269	269
New Trier 21	295	295
New Trier 22	133	133
New Trier 23	161	161
New Trier 24	288	288
New Trier 25	177	177
New Trier 26	232	232
New Trier 27	278	278
New Trier 28	195	195
New Trier 29	184	184
New Trier 30	268	268
New Trier 31	253	253
New Trier 32	225	225
New Trier 33	311	311
New Trier 34	171	171
New Trier 35	140	140
New Trier 36	334	334
New Trier 37	274	274
New Trier 38	259	259
New Trier 39	181	181
New Trier 40	112	112
New Trier 41	132	132
Niles 1	187	187
Niles 2	163	163
Niles 3	226	226
Niles 4	103	103
Niles 5	106	106
Niles 6	121	121
Niles 7	231	231
Niles 8	123	123
Niles 9	122	122
Niles 10	174	174
Niles 11	109	109
Niles 12	118	118
Niles 13	136	136
Niles 14	267	267
Niles 15	202	202
Niles 16	225	225
Niles 17	272	272
Niles 18	142	142
Niles 19	220	220
Niles 20	158	158
Niles 21	333	333
Niles 22	179	179
Niles 23	211	211
Niles 24	226	226
Niles 25	149	149
Niles 26	181	181
Niles 27	131	131
Niles 28	246	246
Niles 29	102	102
Niles 30	125	125
Niles 31	234	234
Niles 32	76	76
Niles 33	233	233
Niles 34	176	176
Niles 35	199	199
Niles 36	135	135
Niles 37	207	207
Niles 38	300	300
Niles 39	208	208
Niles 40	95	95
Niles 41	215	215
Niles 42	172	172
Niles 43	184	184
Niles 44	249	249
Niles 45	190	190
Niles 46	167	167
Niles 47	122	122
Niles 48	162	162
Niles 49	395	395
Niles 50	189	189
Niles 51	88	88
Niles 52	137	137
Niles 53	263	263
Niles 54	117	117
Niles 55	158	158
Niles 56	201	201
Niles 57	202	202
Niles 58	186	186
Niles 59	280	280
Niles 60	254	254
Niles 61	258	258
Niles 62	136	136
Niles 63	295	295
Niles 64	253	253
Northfield 6	131	131
Northfield 7	240	240
Northfield 8	133	133
Northfield 9	105	105
Northfield 12	298	298
Northfield 14	169	169
Northfield 19	204	204
Northfield 20	171	171
Northfield 21	301	301
Northfield 23	111	111
Northfield 24	170	170
Northfield 30	222	222
Northfield 31	187	187
Northfield 35	148	148
Northfield 37	158	158
Northfield 42	138	138
Northfield 44	165	165
Northfield 45	197	197
Northfield 46	251	251
Northfield 52	187	187
Northfield 56	229	229
Norwood Park 3	157	157
Norwood Park 10	132	132
Norwood Park 11	219	219
Norwood Park 14	119	119
Wheeling 2	97	97
Wheeling 3	135	135
Wheeling 5	139	139
Wheeling 7	205	205
Wheeling 8	99	99
Wheeling 10	186	186
Wheeling 13	101	101
Wheeling 14	119	119
Wheeling 15	140	140
Wheeling 18	213	213
Wheeling 19	209	209
Wheeling 20	161	161
Wheeling 21	74	74
Wheeling 22	166	166
Wheeling 23	128	128
Wheeling 24	119	119
Wheeling 25	285	285
Wheeling 26	216	216
Wheeling 27	230	230
Wheeling 28	62	62
Wheeling 30	187	187
Wheeling 31	110	110
Wheeling 32	80	80
Wheeling 34	164	164
Wheeling 35	126	126
Wheeling 36	212	212
Wheeling 39	264	264
Wheeling 40	137	137
Wheeling 41	230	230
Wheeling 44	152	152
Wheeling 45	208	208
Wheeling 46	218	218
Wheeling 47	96	96
Wheeling 52	2	2
Wheeling 53	126	126
Wheeling 54	137	137
Wheeling 57	139	139
Wheeling 58	106	106
Wheeling 59	187	187
Wheeling 60	0	0
Wheeling 61	79	79
Wheeling 62	158	158
Wheeling 68	72	72
Wheeling 69	150	150
Wheeling 71	201	201
Wheeling 73	148	148
Wheeling 78	232	232
Wheeling 82	198	198
Wheeling 86	149	149
Wheeling 87	127	127
Wheeling 90	158	158
Wheeling 92	113	113
