Precinct	total_votes	votes|Carol Ronen
Evanston Ward 2 Precinct 4	354	354
Evanston Ward 2 Precinct 5	264	264
Evanston Ward 3 Precinct 1	333	333
Evanston Ward 3 Precinct 2	371	371
Evanston Ward 3 Precinct 3	364	364
Evanston Ward 3 Precinct 4	177	177
Evanston Ward 3 Precinct 5	285	285
Evanston Ward 3 Precinct 6	323	323
Evanston Ward 3 Precinct 7	304	304
Evanston Ward 4 Precinct 1	182	182
Evanston Ward 4 Precinct 2	299	299
Evanston Ward 4 Precinct 3	168	168
Evanston Ward 4 Precinct 4	486	486
Evanston Ward 4 Precinct 5	205	205
Evanston Ward 4 Precinct 6	411	411
Evanston Ward 5 Precinct 1	208	208
Evanston Ward 5 Precinct 2	341	341
Evanston Ward 5 Precinct 3	249	249
Evanston Ward 5 Precinct 4	116	116
Evanston Ward 6 Precinct 1	539	539
Evanston Ward 6 Precinct 2	304	304
Evanston Ward 6 Precinct 3	296	296
Evanston Ward 6 Precinct 4	347	347
Evanston Ward 6 Precinct 5	446	446
Evanston Ward 6 Precinct 6	223	223
Evanston Ward 6 Precinct 7	462	462
Evanston Ward 7 Precinct 1	515	515
Evanston Ward 7 Precinct 2	527	527
Evanston Ward 7 Precinct 3	78	78
Evanston Ward 7 Precinct 4	315	315
Evanston Ward 7 Precinct 5	453	453
Evanston Ward 7 Precinct 6	18	18
Evanston Ward 8 Precinct 1	357	357
Evanston Ward 8 Precinct 2	232	232
Evanston Ward 8 Precinct 3	209	209
Evanston Ward 8 Precinct 4	355	355
Evanston Ward 8 Precinct 5	345	345
Evanston Ward 9 Precinct 1	228	228
Evanston Ward 9 Precinct 2	297	297
Evanston Ward 9 Precinct 3	448	448
Evanston Ward 9 Precinct 4	406	406
Evanston Ward 9 Precinct 5	246	246
Evanston Ward 9 Precinct 6	299	299
Leyden 23	205	205
Maine 6	216	216
Maine 7	104	104
Maine 8	133	133
Maine 10	124	124
Maine 11	95	95
Maine 12	122	122
Maine 13	142	142
Maine 14	199	199
Maine 16	131	131
Maine 17	140	140
Maine 18	123	123
Maine 19	83	83
Maine 20	97	97
Maine 21	170	170
Maine 22	181	181
Maine 24	235	235
Maine 25	178	178
Maine 26	142	142
Maine 27	128	128
Maine 29	208	208
Maine 30	334	334
Maine 32	79	79
Maine 34	159	159
Maine 35	9	9
Maine 36	129	129
Maine 37	133	133
Maine 38	87	87
Maine 39	123	123
Maine 41	96	96
Maine 42	215	215
Maine 43	88	88
Maine 44	113	113
Maine 46	121	121
Maine 47	145	145
Maine 48	191	191
Maine 49	124	124
Maine 50	112	112
Maine 52	173	173
Maine 53	96	96
Maine 54	166	166
Maine 55	119	119
Maine 58	132	132
Maine 59	124	124
Maine 60	204	204
Maine 61	68	68
Maine 62	76	76
Maine 63	112	112
Maine 65	78	78
Maine 67	161	161
Maine 68	99	99
Maine 71	79	79
Maine 72	123	123
Maine 74	139	139
Maine 75	123	123
Maine 76	78	78
Maine 77	196	196
Maine 79	124	124
Maine 80	142	142
Maine 82	130	130
Maine 83	81	81
Maine 85	66	66
Maine 87	76	76
Maine 88	66	66
Maine 90	61	61
Maine 91	206	206
New Trier 3	245	245
New Trier 8	130	130
New Trier 9	186	186
New Trier 10	171	171
New Trier 11	193	193
New Trier 12	175	175
New Trier 13	280	280
New Trier 14	194	194
New Trier 15	262	262
New Trier 16	219	219
New Trier 17	250	250
New Trier 18	160	160
New Trier 19	72	72
New Trier 20	287	287
New Trier 21	304	304
New Trier 22	137	137
New Trier 23	169	169
New Trier 24	299	299
New Trier 25	176	176
New Trier 26	232	232
New Trier 27	281	281
New Trier 28	194	194
New Trier 29	178	178
New Trier 30	267	267
New Trier 31	259	259
New Trier 32	220	220
New Trier 33	311	311
New Trier 34	168	168
New Trier 35	159	159
New Trier 36	332	332
New Trier 37	277	277
New Trier 38	262	262
New Trier 39	182	182
New Trier 40	118	118
New Trier 41	136	136
Niles 1	192	192
Niles 2	170	170
Niles 3	237	237
Niles 4	102	102
Niles 5	108	108
Niles 6	131	131
Niles 7	241	241
Niles 8	122	122
Niles 9	122	122
Niles 10	176	176
Niles 11	111	111
Niles 12	120	120
Niles 13	141	141
Niles 14	275	275
Niles 15	214	214
Niles 16	237	237
Niles 17	278	278
Niles 18	148	148
Niles 19	225	225
Niles 20	162	162
Niles 21	344	344
Niles 22	182	182
Niles 23	219	219
Niles 24	234	234
Niles 25	144	144
Niles 26	183	183
Niles 27	137	137
Niles 28	257	257
Niles 29	116	116
Niles 30	134	134
Niles 31	241	241
Niles 32	79	79
Niles 33	252	252
Niles 34	181	181
Niles 35	201	201
Niles 36	137	137
Niles 37	209	209
Niles 38	309	309
Niles 39	216	216
Niles 40	97	97
Niles 41	221	221
Niles 42	180	180
Niles 43	191	191
Niles 44	260	260
Niles 45	199	199
Niles 46	175	175
Niles 47	134	134
Niles 48	164	164
Niles 49	406	406
Niles 50	199	199
Niles 51	88	88
Niles 52	140	140
Niles 53	269	269
Niles 54	121	121
Niles 55	171	171
Niles 56	213	213
Niles 57	209	209
Niles 58	189	189
Niles 59	280	280
Niles 60	265	265
Niles 61	258	258
Niles 62	144	144
Niles 63	316	316
Niles 64	261	261
Northfield 6	134	134
Northfield 7	252	252
Northfield 8	134	134
Northfield 9	107	107
Northfield 12	315	315
Northfield 14	172	172
Northfield 19	212	212
Northfield 20	174	174
Northfield 21	306	306
Northfield 23	115	115
Northfield 24	167	167
Northfield 30	231	231
Northfield 31	186	186
Northfield 35	149	149
Northfield 37	162	162
Northfield 42	139	139
Northfield 44	166	166
Northfield 45	203	203
Northfield 46	255	255
Northfield 52	191	191
Northfield 56	237	237
Norwood Park 3	158	158
Norwood Park 10	130	130
Norwood Park 11	226	226
Norwood Park 14	118	118
Wheeling 2	99	99
Wheeling 3	136	136
Wheeling 5	142	142
Wheeling 7	217	217
Wheeling 8	101	101
Wheeling 10	187	187
Wheeling 13	100	100
Wheeling 14	123	123
Wheeling 15	143	143
Wheeling 18	216	216
Wheeling 19	206	206
Wheeling 20	169	169
Wheeling 21	73	73
Wheeling 22	163	163
Wheeling 23	124	124
Wheeling 24	123	123
Wheeling 25	286	286
Wheeling 26	224	224
Wheeling 27	242	242
Wheeling 28	64	64
Wheeling 30	189	189
Wheeling 31	111	111
Wheeling 32	80	80
Wheeling 34	165	165
Wheeling 35	139	139
Wheeling 36	215	215
Wheeling 39	268	268
Wheeling 40	142	142
Wheeling 41	237	237
Wheeling 44	159	159
Wheeling 45	213	213
Wheeling 46	222	222
Wheeling 47	98	98
Wheeling 52	2	2
Wheeling 53	126	126
Wheeling 54	143	143
Wheeling 57	141	141
Wheeling 58	107	107
Wheeling 59	193	193
Wheeling 60	0	0
Wheeling 61	83	83
Wheeling 62	165	165
Wheeling 68	76	76
Wheeling 69	156	156
Wheeling 71	203	203
Wheeling 73	157	157
Wheeling 78	248	248
Wheeling 82	201	201
Wheeling 86	155	155
Wheeling 87	130	130
Wheeling 90	161	161
Wheeling 92	114	114
