Precinct	total_votes	votes|Susana A. Mendoza	votes|Darlene Senger	votes|Claire Ball
09051	364	341	12	11
10001	340	309	18	13
10002	388	271	104	13
10003	383	278	94	11
10004	284	258	13	13
10005	301	214	82	5
10006	303	257	36	10
10007	268	232	32	4
10008	233	211	13	9
10009	351	257	89	5
10010	380	310	60	10
10011	423	370	40	13
10012	242	200	38	4
10013	336	313	18	5
10014	455	384	65	6
10015	674	647	10	17
10016	281	210	55	16
10017	489	360	112	17
10018	237	223	6	8
10019	379	288	79	12
10020	408	323	68	17
10021	368	316	45	7
10022	213	197	14	2
10023	320	288	21	11
10024	372	255	112	5
10025	103	99	1	3
10026	277	253	17	7
10027	356	322	21	13
10028	400	346	46	8
10029	328	285	36	7
10030	309	276	23	10
10031	274	257	14	3
10032	374	307	60	7
10033	251	223	23	5
10034	257	240	13	4
10035	433	326	98	9
10036	98	88	8	2
11001	434	328	79	27
11002	33	27	5	1
11003	444	397	26	21
11004	367	295	61	11
11005	556	473	58	25
11006	725	603	98	24
11007	679	604	61	14
11008	436	363	56	17
11009	356	274	67	15
11010	403	330	58	15
11011	479	369	93	17
11012	585	419	148	18
11013	526	353	155	18
11014	245	173	64	8
11015	170	137	29	4
11016	301	218	73	10
11017	541	436	81	24
11018	334	274	55	5
11019	547	461	68	18
11020	302	256	44	2
11021	556	442	100	14
11022	498	384	92	22
11023	268	211	50	7
11024	495	402	82	11
11025	570	446	106	18
11026	516	398	103	15
11027	148	123	22	3
11028	197	144	44	9
11029	482	386	83	13
11030	227	167	52	8
11031	429	303	110	16
11032	219	150	62	7
11033	564	455	92	17
11034	171	131	33	7
11035	123	97	23	3
11036	183	150	29	4
11037	127	103	15	9
11038	242	210	23	9
12001	366	316	33	17
12002	346	307	30	9
12003	492	423	49	20
12004	414	356	38	20
12005	344	259	68	17
12006	385	334	44	7
12007	345	316	18	11
12008	414	351	47	16
12009	323	271	42	10
12010	437	399	17	21
12011	381	350	20	11
12012	382	329	36	17
12013	374	332	30	12
12014	339	319	10	10
12015	294	274	14	6
12016	342	308	15	19
12017	373	331	33	9
12018	324	291	12	21
12019	384	333	38	13
12020	452	389	42	21
12021	365	315	33	17
12022	306	284	12	10
12023	385	320	48	17
13001	299	218	73	8
13002	308	219	79	10
13003	283	253	28	2
13004	363	254	98	11
13005	405	356	42	7
13006	358	241	103	14
13007	270	242	22	6
13008	288	211	73	4
13009	357	307	44	6
13010	324	195	122	7
13011	383	302	72	9
13012	307	246	55	6
13013	358	326	23	9
13014	355	301	46	8
13015	472	416	43	13
13016	232	210	16	6
13017	295	223	65	7
13018	276	199	65	12
13019	378	352	18	8
13020	210	149	53	8
13021	406	278	121	7
13022	394	280	100	14
13023	257	231	21	5
13024	350	291	46	13
13025	344	297	42	5
13026	330	253	66	11
13027	322	260	51	11
13028	272	243	22	7
13029	264	228	34	2
13030	278	251	18	9
13031	380	261	105	14
13032	291	199	88	4
13033	359	244	101	14
13034	412	386	20	6
13035	315	278	31	6
13036	211	183	22	6
13037	393	354	35	4
13038	313	216	84	13
13039	346	319	23	4
13040	360	305	45	10
13041	384	355	24	5
13042	344	225	109	10
13043	356	304	42	10
13044	354	327	19	8
13045	397	310	82	5
13046	402	360	34	8
13047	375	344	23	8
13048	315	223	83	9
14001	440	276	154	10
14002	467	400	55	12
14003	368	343	20	5
14004	387	260	115	12
14005	505	471	20	14
14006	172	160	8	4
14007	425	373	43	9
14008	406	353	44	9
14009	454	328	111	15
14010	261	213	39	9
14011	226	211	8	7
14012	401	342	48	11
14013	322	285	29	8
14014	331	296	24	11
14015	400	383	11	6
14016	257	221	25	11
14017	301	274	19	8
14018	158	123	33	2
14019	315	283	20	12
14020	253	225	23	5
14021	354	318	28	8
14022	493	389	87	17
14023	311	249	56	6
14024	463	308	145	10
14025	214	193	16	5
14026	269	239	21	9
14027	348	301	40	7
14028	284	257	17	10
14029	293	276	12	5
14030	200	190	7	3
14031	205	187	12	6
15001	327	288	23	16
15002	214	205	1	8
15003	234	221	3	10
15004	335	304	20	11
15005	313	279	28	6
15006	325	286	30	9
15007	238	223	7	8
15008	285	260	21	4
15009	430	397	23	10
15010	454	406	28	20
15011	365	324	30	11
15012	387	343	30	14
15013	299	273	17	9
15014	287	263	16	8
15015	263	230	22	11
15016	364	336	17	11
15017	264	245	10	9
15018	211	202	3	6
15019	290	256	19	15
15020	254	237	6	11
15021	214	203	2	9
15022	273	261	8	4
15023	264	250	8	6
15024	210	195	9	6
16001	380	348	23	9
16002	284	268	11	5
16003	237	222	4	11
16004	288	272	11	5
16005	197	182	9	6
16006	292	282	3	7
16007	255	241	7	7
16008	188	176	6	6
16009	289	274	3	12
16010	269	252	7	10
16011	274	257	9	8
16012	243	229	6	8
16013	271	251	14	6
16014	216	198	9	9
16015	297	286	4	7
16016	272	259	4	9
16017	341	314	18	9
16018	313	290	11	12
16019	243	229	7	7
16020	230	216	6	8
16021	245	230	8	7
16022	237	221	10	6
16023	329	301	23	5
16024	154	149	4	1
16025	331	307	15	9
16026	219	212	5	2
16027	235	217	6	12
16028	253	240	6	7
16029	268	258	4	6
16030	235	212	10	13
16031	289	275	9	5
16032	306	281	13	12
16033	269	253	7	9
16034	253	239	8	6
16035	346	333	8	5
16036	221	207	9	5
17001	343	315	19	9
17002	346	323	14	9
17003	352	323	17	12
17004	430	409	10	11
17005	257	236	13	8
17006	295	283	7	5
17007	282	263	11	8
17008	288	267	8	13
17009	270	259	6	5
17010	458	424	12	22
17011	273	264	5	4
17012	446	422	13	11
17013	295	286	5	4
17014	401	375	14	12
17015	369	356	5	8
17016	334	314	12	8
17017	317	297	16	4
17018	377	361	7	9
17019	204	195	3	6
17020	434	425	2	7
17021	455	435	12	8
17022	300	284	6	10
17023	226	214	9	3
17024	368	345	10	13
17025	264	255	5	4
17026	362	349	10	3
17027	324	305	10	9
17028	277	263	6	8
17029	353	336	7	10
17030	269	245	18	6
17031	217	210	4	3
17032	272	255	8	9
17033	226	208	7	11
17034	261	243	10	8
17035	240	230	5	5
17036	331	318	4	9
17037	296	271	10	15
17038	322	312	4	6
17039	331	311	11	9
17040	357	346	2	9
17041	420	403	6	11
18001	339	317	16	6
18002	350	305	38	7
18003	344	277	58	9
18004	407	383	14	10
18005	238	221	7	10
18006	326	243	77	6
18007	371	330	26	15
18008	384	356	15	13
18009	375	350	17	8
18010	494	457	18	19
18011	327	291	24	12
18012	379	357	16	6
18013	403	382	7	14
18014	402	376	11	15
18015	420	373	30	17
18016	364	341	13	10
18017	374	343	21	10
18018	315	308	3	4
18019	367	354	10	3
18020	303	284	6	13
18021	456	424	17	15
18022	463	441	13	9
18023	380	349	19	12
18024	380	319	50	11
18025	372	313	51	8
18026	459	431	16	12
18027	314	289	15	10
18028	364	264	90	10
18029	413	374	31	8
18030	448	371	67	10
18031	400	375	13	12
18032	387	359	13	15
18033	299	290	2	7
18034	457	422	20	15
18035	450	419	14	17
18036	407	365	33	9
18037	437	417	11	9
18038	360	338	6	16
18039	285	267	13	5
18040	415	368	34	13
18041	438	402	19	17
18042	338	324	8	6
18043	286	230	49	7
18044	339	250	84	5
18045	341	309	25	7
18046	419	348	59	12
18047	289	270	12	7
18048	311	286	12	13
18049	228	210	8	10
18050	299	284	9	6
19001	408	254	137	17
19002	612	530	70	12
19003	343	162	170	11
19004	483	281	187	15
19005	485	394	75	16
19006	461	269	178	14
19007	395	281	103	11
19008	483	261	210	12
19009	328	204	119	5
19010	542	424	103	15
19011	412	210	193	9
19012	358	178	172	8
19013	517	475	18	24
19014	517	429	75	13
19015	546	297	228	21
19016	463	262	192	9
19017	388	242	133	13
19018	414	313	88	13
19019	584	467	105	12
19020	369	327	24	18
19021	404	214	179	11
19022	487	359	119	9
19023	456	284	162	10
19024	311	165	140	6
19025	436	293	122	21
19026	455	323	112	20
19027	456	391	47	18
19028	497	448	16	33
19029	451	239	199	13
19030	407	224	170	13
19031	407	303	94	10
19032	406	262	133	11
19033	455	227	215	13
19034	416	307	96	13
19035	406	311	86	9
19036	611	555	38	18
19037	429	375	40	14
19038	388	334	36	18
19039	169	150	12	7
19040	473	376	84	13
19041	406	213	183	10
19042	384	299	70	15
19043	587	552	20	15
19044	481	265	205	11
19045	439	280	149	10
19046	463	293	156	14
19047	619	537	63	19
19048	497	474	17	6
19049	524	460	46	18
19050	365	243	107	15
19051	483	324	144	15
19052	462	246	196	20
19053	410	300	97	13
19054	364	179	168	17
19055	373	206	156	11
19056	478	380	88	10
19057	372	308	57	7
20001	360	339	13	8
20002	158	145	8	5
20003	326	304	6	16
20004	175	166	4	5
20005	438	411	11	16
20006	176	163	8	5
20007	401	383	10	8
20008	358	338	4	16
20009	537	502	10	25
20010	255	245	5	5
20011	513	484	7	22
20012	295	281	4	10
20013	412	387	12	13
20014	193	184	3	6
20015	302	276	17	9
20016	435	413	15	7
20017	224	213	6	5
20018	251	242	4	5
20019	387	364	13	10
20020	247	226	14	7
20021	264	249	9	6
20022	473	435	20	18
20023	414	387	12	15
20024	437	403	15	19
20025	279	251	19	9
20026	394	371	12	11
20027	197	188	8	1
20028	230	212	9	9
20029	442	421	10	11
20030	176	170	2	4
20031	448	430	7	11
20032	367	352	10	5
20033	220	211	6	3
20034	629	583	29	17
20035	270	253	10	7
20036	124	120	2	2
20037	114	111	1	2
20038	126	113	9	4
20039	26	22	2	2
21001	417	392	13	12
21002	289	272	4	13
21003	423	396	11	16
21004	354	336	5	13
21005	423	399	12	12
21006	313	297	8	8
21007	392	370	9	13
21008	397	376	11	10
21009	428	413	5	10
21010	338	317	10	11
21011	351	334	8	9
21012	360	337	11	12
21013	378	355	11	12
21014	400	382	9	9
21015	341	324	5	12
21016	360	337	10	13
21017	344	326	8	10
21018	431	415	9	7
21019	385	370	5	10
21020	335	321	6	8
21021	325	310	6	9
21022	331	310	10	11
21023	335	326	6	3
21024	373	357	9	7
21025	326	309	9	8
21026	372	356	11	5
21027	375	362	5	8
21028	470	454	10	6
21029	438	421	6	11
21030	310	287	10	13
21031	277	260	10	7
21032	341	329	5	7
21033	339	325	4	10
21034	344	330	6	8
21035	441	416	11	14
21036	356	330	11	15
21037	277	262	5	10
21038	363	358	4	1
21039	321	306	4	11
21040	344	330	5	9
21041	387	370	9	8
21042	414	386	14	14
21043	364	353	2	9
21044	369	353	4	12
21045	353	338	3	12
21046	420	405	8	7
21047	356	342	8	6
21048	377	357	9	11
21049	413	399	7	7
21050	307	289	9	9
21051	353	338	4	11
21052	358	343	9	6
21053	324	305	13	6
21054	331	309	14	8
22001	204	188	6	10
22002	419	327	84	8
22003	473	446	14	13
22004	273	254	10	9
22005	324	290	22	12
22006	313	290	15	8
22007	249	234	5	10
22008	470	387	64	19
22009	272	256	8	8
22010	439	395	36	8
22011	275	261	9	5
22012	320	257	43	20
22013	331	299	24	8
22014	246	225	17	4
22015	277	260	7	10
22016	284	265	11	8
22017	342	305	22	15
22018	287	260	17	10
22019	177	169	5	3
22020	300	275	14	11
22021	346	337	5	4
22022	298	271	18	9
22023	462	437	11	14
22024	348	320	17	11
22025	328	301	18	9
23001	356	230	119	7
23002	381	264	106	11
23003	364	218	138	8
23004	402	282	97	23
23005	370	333	28	9
23006	383	318	52	13
23007	288	247	31	10
23008	416	332	70	14
23009	293	264	23	6
23010	399	340	46	13
23011	363	329	22	12
23012	369	241	114	14
23013	305	280	23	2
23014	348	229	107	12
23015	302	275	19	8
23016	362	229	121	12
23017	233	203	16	14
23018	298	195	97	6
23019	280	253	15	12
23020	206	174	31	1
23021	375	230	140	5
23022	379	279	90	10
23023	356	241	106	9
23024	294	254	35	5
23025	298	248	43	7
23026	369	315	48	6
23027	313	188	107	18
23028	372	254	110	8
23029	307	234	64	9
23030	393	332	54	7
23031	290	247	33	10
23032	342	293	43	6
23033	362	315	39	8
23034	329	279	35	15
23035	264	157	102	5
23036	345	219	112	14
23037	375	242	123	10
23038	333	234	91	8
23039	363	331	26	6
24001	280	269	0	11
24002	300	288	7	5
24003	331	311	10	10
24004	255	242	7	6
24005	173	165	5	3
24006	321	306	6	9
24007	214	196	10	8
24008	161	151	5	5
24009	302	292	7	3
24010	142	134	5	3
24011	359	330	12	17
24012	188	174	9	5
24013	169	151	8	10
24014	298	278	9	11
24015	161	149	6	6
24016	447	395	28	24
24017	257	236	9	12
24018	364	354	4	6
24019	378	366	4	8
24020	262	251	6	5
24021	152	146	4	2
24022	388	377	6	5
24023	255	242	8	5
24024	334	314	13	7
24025	271	260	7	4
24026	441	420	10	11
24027	332	317	4	11
24028	207	194	9	4
24029	250	235	6	9
24030	188	180	4	4
24031	352	334	13	5
24032	172	163	4	5
24033	189	176	3	10
24034	299	286	7	6
24035	300	289	6	5
24036	373	346	12	15
24037	186	176	3	7
24038	262	241	10	11
24039	335	305	20	10
24040	372	354	12	6
24041	218	202	9	7
25001	358	326	21	11
25002	525	486	18	21
25003	799	606	158	35
25004	391	353	23	15
25005	483	424	45	14
25006	150	112	32	6
25007	483	443	26	14
25008	495	454	21	20
25009	440	406	17	17
25010	750	578	143	29
25011	492	454	27	11
25012	449	417	17	15
25013	522	496	16	10
25014	283	234	39	10
25015	402	351	30	21
25016	777	571	178	28
25017	527	466	42	19
25018	282	220	50	12
25019	493	465	13	15
25020	304	285	8	11
25021	884	728	109	47
25022	436	403	18	15
25023	522	476	25	21
25024	465	427	21	17
25025	493	369	96	28
25026	405	364	27	14
25027	617	506	88	23
25028	478	437	28	13
25029	366	333	18	15
25030	438	411	19	8
25031	910	685	198	27
25032	375	323	41	11
26001	409	368	26	15
26002	328	306	14	8
26003	442	367	58	17
26004	239	228	11	0
26005	342	314	15	13
26006	324	295	21	8
26007	379	342	22	15
26008	194	173	17	4
26009	265	241	16	8
26010	324	298	17	9
26011	328	295	24	9
26012	409	362	24	23
26013	190	174	12	4
26014	278	261	10	7
26015	215	189	16	10
26016	197	179	14	4
26017	321	236	78	7
26018	273	239	25	9
26019	230	205	17	8
26020	330	299	24	7
26021	445	406	24	15
26022	182	167	11	4
26023	240	221	14	5
26024	298	274	18	6
26025	348	317	18	13
26026	262	235	18	9
26027	450	399	33	18
26028	545	465	60	20
26029	235	202	24	9
26030	288	270	15	3
26031	157	142	14	1
26032	446	380	46	20
26033	427	377	31	19
26034	470	441	18	11
26035	316	290	10	16
26036	386	333	32	21
26037	395	370	15	10
26038	164	148	12	4
26039	412	359	41	12
26040	252	230	14	8
26041	431	388	23	20
26042	301	283	12	6
26043	203	192	8	3
26044	216	195	15	6
26045	170	154	14	2
26046	273	212	48	13
26047	237	209	23	5
26048	354	315	20	19
26049	205	191	13	1
27001	925	745	145	35
27002	474	384	71	19
27003	243	223	8	12
27004	222	201	10	11
27005	323	290	18	15
27006	519	433	71	15
27007	635	560	58	17
27008	312	294	11	7
27009	241	179	58	4
27010	434	405	16	13
27011	610	465	122	23
27012	340	257	72	11
27013	579	531	32	16
27014	202	193	3	6
27015	208	197	7	4
27016	514	407	92	15
27017	406	375	22	9
27018	288	264	13	11
27019	203	192	9	2
27020	317	308	3	6
27021	473	381	76	16
27022	192	182	7	3
27023	286	275	3	8
27024	289	275	9	5
27025	383	339	29	15
27026	311	289	11	11
27027	499	437	32	30
27028	424	323	87	14
27029	264	243	9	12
27030	187	177	8	2
27031	315	291	12	12
27032	367	325	27	15
27033	480	406	58	16
27034	286	268	12	6
27035	527	416	93	18
27036	335	304	14	17
27037	547	441	85	21
27038	659	538	89	32
27039	289	271	9	9
27040	635	498	108	29
27041	330	320	6	4
27042	308	240	53	15
27043	269	240	13	16
27044	273	261	7	5
27045	979	758	192	29
27046	380	267	91	22
27047	285	253	18	14
27048	846	714	105	27
27049	288	272	7	9
27050	373	353	14	6
28001	226	208	8	10
28002	306	285	10	11
28003	272	260	8	4
28004	343	276	53	14
28005	223	202	16	5
28006	199	176	18	5
28007	315	301	7	7
28008	442	349	70	23
28009	324	313	4	7
28010	456	396	40	20
28011	695	625	46	24
28012	323	309	4	10
28013	378	357	13	8
28014	250	239	6	5
28015	70	65	2	3
28016	201	193	4	4
28017	281	269	6	6
28018	287	275	4	8
28019	301	265	22	14
28020	302	278	12	12
28021	269	257	4	8
28022	297	273	9	15
28023	366	346	12	8
28024	267	254	4	9
28025	437	419	10	8
28026	316	302	5	9
28027	380	283	86	11
28028	449	363	68	18
28029	165	156	6	3
28030	52	49	1	2
28031	429	405	13	11
28032	300	283	12	5
28033	343	321	10	12
28034	576	532	21	23
28035	378	358	8	12
28036	181	176	2	3
28037	403	388	8	7
28038	155	144	3	8
28039	239	229	4	6
28040	433	411	8	14
28041	240	229	7	4
28042	328	312	3	13
28043	395	378	7	10
28044	226	223	1	2
28045	456	363	80	13
28046	677	576	75	26
29001	540	455	65	20
29002	531	502	16	13
29003	433	409	13	11
29004	431	408	13	10
29005	337	321	10	6
29006	344	329	8	7
29007	420	377	31	12
29008	347	328	9	10
29009	471	385	75	11
29010	556	469	74	13
29011	234	220	7	7
29012	488	464	15	9
29013	430	406	10	14
29014	366	348	10	8
29015	457	434	13	10
29016	378	367	4	7
29017	357	344	3	10
29018	385	358	12	15
29019	410	390	13	7
29020	489	465	9	15
29021	504	481	10	13
29022	288	257	19	12
29023	472	376	76	20
29024	359	341	14	4
29025	480	458	11	11
29026	404	366	24	14
29027	367	352	5	10
29028	488	459	9	20
29029	386	282	87	17
29030	553	489	53	11
29031	422	291	122	9
29032	408	268	129	11
29033	302	281	13	8
29034	297	261	24	12
29035	300	287	5	8
29036	350	329	9	12
29037	396	371	12	13
29038	433	354	70	9
29039	396	318	65	13
29040	455	430	9	16
29041	315	303	6	6
29042	444	429	6	9
29043	512	466	32	14
29044	516	479	23	14
30001	481	393	73	15
30002	421	345	63	13
30003	359	314	33	12
30004	415	324	76	15
30005	296	260	31	5
30006	358	306	47	5
30007	454	366	66	22
30008	539	462	49	28
30009	345	273	62	10
30010	434	367	55	12
30011	387	347	31	9
30012	362	309	44	9
30013	416	340	61	15
30014	265	236	25	4
30015	426	351	61	14
30016	199	164	26	9
30017	402	335	47	20
30018	519	464	35	20
30019	377	329	37	11
30020	462	380	58	24
30021	324	267	47	10
30022	575	510	48	17
30023	467	409	44	14
30024	558	483	53	22
30025	604	525	59	20
30026	251	204	39	8
30027	290	246	41	3
30028	435	381	38	16
30029	235	208	22	5
30030	194	172	18	4
30031	283	226	48	9
30032	324	283	31	10
31001	254	231	20	3
31002	232	212	14	6
31003	235	189	39	7
31004	393	350	29	14
31005	301	257	31	13
31006	207	189	15	3
31007	441	409	16	16
31008	221	194	21	6
31009	271	228	33	10
31010	247	219	24	4
31011	223	184	31	8
31012	258	213	38	7
31013	275	256	14	5
31014	251	204	38	9
31015	252	211	28	13
31016	345	306	27	12
31017	261	213	37	11
31018	257	227	23	7
