Precinct	total_votes	votes|M. Cameron ''Cam'' Davis	votes|Geoffrey Cubbage
09032	358	343	15
09033	268	260	8
09034	258	250	8
09035	366	355	11
09036	291	276	15
09037	489	400	89
09038	383	365	18
09039	381	369	12
09040	385	369	16
09041	289	279	10
09042	359	337	22
09043	315	299	16
09044	319	304	15
09045	270	260	10
09046	354	326	28
09047	371	357	14
09048	405	377	28
09049	380	373	7
09050	461	443	18
09051	348	327	21
10001	321	296	25
10002	327	244	83
10003	321	256	65
10004	257	235	22
10005	255	203	52
10006	262	232	30
10007	248	204	44
10008	219	202	17
10009	283	220	63
10010	334	276	58
10011	377	328	49
10012	216	179	37
10013	299	273	26
10014	408	347	61
10015	648	630	18
10016	250	193	57
10017	428	320	108
10018	220	198	22
10019	324	252	72
10020	354	292	62
10021	341	293	48
10022	198	173	25
10023	298	257	41
10024	306	242	64
10025	102	95	7
10026	248	216	32
10027	329	296	33
10028	368	318	50
10029	306	263	43
10030	277	239	38
10031	250	227	23
10032	325	271	54
10033	235	205	30
10034	233	213	20
10035	359	289	70
10036	88	78	10
11001	389	277	112
11002	31	29	2
11003	420	297	123
11004	330	261	69
11005	516	361	155
11006	653	498	155
11007	635	545	90
11008	393	301	92
11009	315	227	88
11010	355	271	84
11011	432	316	116
11012	490	380	110
11013	446	347	99
11014	190	151	39
11015	157	126	31
11016	259	192	67
11017	491	342	149
11018	289	240	49
11019	506	373	133
11020	264	216	48
11021	497	380	117
11022	444	319	125
11023	232	189	43
11024	459	381	78
11025	505	388	117
11026	450	323	127
11027	136	112	24
11028	171	137	34
11029	428	342	86
11030	192	141	51
11031	372	283	89
11032	178	138	40
11033	507	379	128
11034	134	105	29
11035	109	90	19
11036	158	124	34
11037	107	87	20
11038	224	169	55
12001	341	257	84
12002	299	254	45
12003	454	336	118
12004	383	292	91
12005	292	223	69
12006	343	290	53
12007	324	246	78
12008	364	299	65
12009	290	236	54
12010	417	336	81
12011	351	311	40
12012	352	297	55
12013	345	296	49
12014	323	284	39
12015	270	231	39
12016	308	272	36
12017	350	283	67
12018	304	244	60
12019	348	281	67
12020	411	351	60
12021	333	266	67
12022	290	240	50
12023	349	272	77
13001	263	202	61
13002	269	214	55
13003	263	228	35
13004	298	236	62
13005	379	325	54
13006	300	209	91
13007	249	218	31
13008	248	197	51
13009	331	282	49
13010	278	203	75
13011	337	275	62
13012	276	228	48
13013	336	301	35
13014	330	270	60
13015	443	391	52
13016	210	186	24
13017	265	204	61
13018	235	186	49
13019	360	327	33
13020	177	132	45
13021	333	241	92
13022	336	259	77
13023	233	196	37
13024	324	265	59
13025	317	272	45
13026	297	233	64
13027	295	237	58
13028	245	218	27
13029	247	205	42
13030	260	231	29
13031	335	243	92
13032	242	175	67
13033	320	247	73
13034	389	355	34
13035	294	260	34
13036	204	176	28
13037	353	314	39
13038	263	195	68
13039	324	283	41
13040	324	278	46
13041	356	334	22
13042	289	218	71
13043	327	269	58
13044	340	306	34
13045	347	271	76
13046	367	326	41
13047	341	312	29
13048	276	215	61
14001	356	260	96
14002	433	370	63
14003	347	307	40
14004	331	252	79
14005	481	444	37
14006	167	148	19
14007	392	332	60
14008	368	304	64
14009	400	301	99
14010	238	195	43
14011	218	198	20
14012	366	310	56
14013	301	266	35
14014	310	272	38
14015	377	347	30
14016	236	200	36
14017	281	257	24
14018	141	116	25
14019	309	271	38
14020	248	217	31
14021	328	288	40
14022	435	358	77
14023	272	210	62
14024	405	316	89
14025	194	169	25
14026	263	232	31
14027	317	272	45
14028	265	228	37
14029	272	247	25
14030	187	167	20
14031	198	179	19
15001	301	257	44
15002	203	196	7
15003	224	209	15
15004	318	282	36
15005	295	257	38
15006	303	252	51
15007	227	212	15
15008	266	233	33
15009	385	336	49
15010	421	364	57
15011	345	303	42
15012	372	327	45
15013	288	254	34
15014	271	239	32
15015	246	217	29
15016	334	312	22
15017	251	240	11
15018	200	198	2
15019	259	224	35
15020	242	234	8
15021	204	200	4
15022	257	248	9
15023	251	243	8
15024	194	186	8
16001	352	307	45
16002	267	249	18
16003	227	213	14
16004	271	256	15
16005	186	177	9
16006	269	260	9
16007	246	230	16
16008	183	170	13
16009	282	261	21
16010	258	247	11
16011	262	251	11
16012	227	211	16
16013	257	233	24
16014	198	186	12
16015	285	269	16
16016	254	247	7
16017	327	296	31
16018	300	278	22
16019	235	226	9
16020	215	207	8
16021	233	225	8
16022	216	208	8
16023	311	277	34
16024	142	139	3
16025	302	282	20
16026	204	198	6
16027	222	209	13
16028	230	217	13
16029	254	246	8
16030	214	204	10
16031	274	257	17
16032	293	263	30
16033	250	239	11
16034	243	238	5
16035	328	308	20
16036	212	201	11
17001	332	304	28
17002	328	313	15
17003	334	316	18
17004	410	393	17
17005	242	234	8
17006	279	265	14
17007	267	248	19
17008	276	260	16
17009	257	247	10
17010	430	407	23
17011	263	254	9
17012	428	384	44
17013	280	267	13
17014	380	358	22
17015	353	332	21
17016	329	300	29
17017	304	286	18
17018	360	348	12
17019	195	189	6
17020	414	398	16
17021	427	410	17
17022	276	264	12
17023	215	207	8
17024	344	330	14
17025	248	237	11
17026	337	329	8
17027	302	287	15
17028	257	246	11
17029	330	316	14
17030	247	226	21
17031	204	198	6
17032	263	261	2
17033	212	204	8
17034	236	223	13
17035	230	220	10
17036	309	302	7
17037	274	264	10
17038	311	300	11
17039	314	293	21
17040	338	331	7
17041	397	385	12
18001	322	304	18
18002	324	280	44
18003	311	262	49
18004	382	372	10
18005	226	213	13
18006	286	237	49
18007	335	306	29
18008	369	352	17
18009	352	330	22
18010	471	450	21
18011	300	280	20
18012	353	335	18
18013	374	357	17
18014	386	366	20
18015	394	341	53
18016	345	329	16
18017	349	321	28
18018	302	293	9
18019	339	325	14
18020	288	276	12
18021	442	412	30
18022	431	414	17
18023	359	326	33
18024	348	300	48
18025	342	294	48
18026	450	433	17
18027	288	273	15
18028	327	252	75
18029	386	355	31
18030	408	339	69
18031	384	365	19
18032	368	348	20
18033	286	278	8
18034	417	398	19
18035	428	409	19
18036	376	345	31
18037	422	402	20
18038	344	329	15
18039	275	256	19
18040	388	338	50
18041	419	396	23
18042	311	295	16
18043	260	214	46
18044	288	229	59
18045	311	285	26
18046	380	324	56
18047	278	260	18
18048	297	281	16
18049	219	209	10
18050	276	264	12
19001	320	245	75
19002	563	488	75
19003	255	169	86
19004	401	278	123
19005	434	370	64
19006	370	248	122
19007	346	270	76
19008	377	251	126
19009	257	198	59
19010	481	389	92
19011	298	208	90
19012	275	174	101
19013	492	449	43
19014	470	408	62
19015	431	261	170
19016	358	257	101
19017	316	223	93
19018	358	293	65
19019	517	426	91
19020	340	296	44
19021	315	224	91
19022	421	338	83
19023	379	286	93
19024	228	148	80
19025	378	270	108
19026	375	288	87
19027	419	342	77
19028	473	429	44
19029	358	221	137
19030	330	221	109
19031	343	260	83
19032	341	240	101
19033	362	236	126
19034	367	278	89
19035	359	281	78
19036	564	489	75
19037	392	325	67
19038	366	305	61
19039	165	152	13
19040	415	322	93
19041	309	214	95
19042	339	271	68
19043	549	513	36
19044	390	249	141
19045	358	262	96
19046	378	292	86
19047	561	504	57
19048	459	441	18
19049	493	421	72
19050	305	234	71
19051	399	306	93
19052	378	241	137
19053	339	258	81
19054	290	170	120
19055	275	189	86
19056	420	344	76
19057	342	275	67
20001	347	326	21
20002	147	143	4
20003	313	292	21
20004	165	158	7
20005	412	379	33
20006	158	150	8
20007	374	356	18
20008	332	322	10
20009	511	477	34
20010	240	230	10
20011	483	459	24
20012	290	283	7
20013	389	367	22
20014	180	166	14
20015	281	257	24
20016	409	357	52
20017	206	191	15
20018	241	237	4
20019	368	336	32
20020	237	206	31
20021	254	231	23
20022	457	409	48
20023	383	366	17
20024	415	341	74
20025	254	235	19
20026	380	338	42
20027	181	174	7
20028	220	204	16
20029	399	385	14
20030	163	158	5
20031	425	395	30
20032	340	330	10
20033	211	197	14
20034	592	482	110
20035	251	244	7
20036	117	108	9
20037	112	109	3
20038	118	113	5
20039	24	22	2
21001	398	377	21
21002	275	265	10
21003	416	396	20
21004	345	327	18
21005	399	384	15
21006	306	293	13
21007	370	357	13
21008	382	364	18
21009	408	393	15
21010	321	308	13
21011	338	324	14
21012	337	323	14
21013	355	337	18
21014	378	365	13
21015	315	306	9
21016	338	327	11
21017	327	313	14
21018	403	390	13
21019	376	367	9
21020	310	295	15
21021	313	300	13
21022	316	300	16
21023	320	309	11
21024	361	350	11
21025	309	295	14
21026	352	338	14
21027	358	336	22
21028	452	435	17
21029	419	407	12
21030	289	272	17
21031	259	244	15
21032	330	320	10
21033	320	311	9
21034	326	316	10
21035	420	403	17
21036	341	330	11
21037	262	251	11
21038	345	336	9
21039	313	306	7
21040	327	312	15
21041	362	343	19
21042	392	367	25
21043	352	338	14
21044	357	341	16
21045	339	330	9
21046	386	375	11
21047	340	327	13
21048	364	342	22
21049	404	388	16
21050	294	281	13
21051	345	332	13
21052	336	322	14
21053	309	293	16
21054	314	304	10
22001	204	194	10
22002	374	296	78
22003	415	364	51
22004	242	217	25
22005	301	264	37
22006	287	254	33
22007	227	197	30
22008	426	350	76
22009	258	230	28
22010	411	357	54
22011	247	219	28
22012	288	242	46
22013	303	263	40
22014	233	188	45
22015	252	233	19
22016	268	245	23
22017	315	271	44
22018	277	250	27
22019	172	161	11
22020	281	253	28
22021	351	341	10
22022	284	246	38
22023	438	417	21
22024	320	281	39
22025	312	285	27
23001	275	197	78
23002	316	237	79
23003	306	219	87
23004	356	260	96
23005	331	287	44
23006	344	286	58
23007	269	233	36
23008	372	308	64
23009	269	233	36
23010	372	314	58
23011	341	301	40
23012	314	222	92
23013	285	246	39
23014	286	216	70
23015	281	247	34
23016	294	216	78
23017	214	190	24
23018	241	191	50
23019	268	234	34
23020	191	152	39
23021	288	208	80
23022	325	249	76
23023	279	218	61
23024	273	232	41
23025	264	228	36
23026	332	277	55
23027	244	160	84
23028	320	238	82
23029	269	219	50
23030	362	300	62
23031	262	226	36
23032	309	270	39
23033	334	278	56
23034	298	262	36
23035	212	151	61
23036	278	196	82
23037	313	219	94
23038	276	213	63
23039	339	305	34
24001	267	259	8
24002	286	273	13
24003	312	295	17
24004	238	228	10
24005	161	156	5
24006	300	287	13
24007	205	157	48
24008	146	137	9
24009	281	268	13
24010	130	124	6
24011	330	312	18
24012	179	163	16
24013	162	156	6
24014	271	257	14
24015	153	147	6
24016	404	325	79
24017	240	224	16
24018	339	327	12
24019	358	351	7
24020	257	244	13
24021	148	140	8
24022	352	338	14
24023	242	232	10
24024	313	299	14
24025	248	238	10
24026	404	391	13
24027	311	300	11
24028	194	186	8
24029	230	221	9
24030	173	169	4
24031	329	311	18
24032	147	144	3
24033	178	173	5
24034	273	259	14
24035	282	265	17
24036	360	333	27
24037	177	169	8
24038	251	231	20
24039	304	278	26
24040	335	329	6
24041	204	197	7
25001	329	258	71
25002	497	350	147
25003	700	533	167
25004	358	316	42
25005	432	330	102
25006	128	100	28
25007	446	309	137
25008	464	357	107
25009	405	302	103
25010	658	519	139
25011	447	334	113
25012	418	308	110
25013	470	357	113
25014	253	185	68
25015	373	264	109
25016	664	501	163
25017	482	379	103
25018	225	171	54
25019	441	317	124
25020	277	262	15
25021	803	632	171
25022	412	311	101
25023	489	369	120
25024	432	316	116
25025	423	330	93
25026	372	281	91
25027	560	428	132
25028	438	307	131
25029	344	299	45
25030	405	298	107
25031	788	611	177
25032	328	264	64
26001	372	274	98
26002	300	221	79
26003	407	272	135
26004	223	195	28
26005	319	230	89
26006	305	248	57
26007	362	253	109
26008	175	141	34
26009	234	187	47
26010	295	226	69
26011	302	245	57
26012	378	266	112
26013	176	158	18
26014	265	221	44
26015	185	159	26
26016	177	159	18
26017	281	182	99
26018	242	198	44
26019	213	196	17
26020	289	213	76
26021	406	309	97
26022	155	136	19
26023	222	178	44
26024	273	221	52
26025	310	249	61
26026	245	182	63
26027	416	297	119
26028	500	368	132
26029	208	148	60
26030	272	202	70
26031	144	120	24
26032	409	302	107
26033	376	262	114
26034	422	318	104
26035	282	211	71
26036	359	261	98
26037	365	278	87
26038	142	134	8
26039	373	271	102
26040	235	180	55
26041	401	316	85
26042	283	214	69
26043	179	155	24
26044	191	170	21
26045	156	131	25
26046	238	167	71
26047	216	184	32
26048	331	231	100
26049	189	165	24
27001	833	636	197
27002	406	327	79
27003	229	212	17
27004	211	179	32
27005	294	261	33
27006	438	363	75
27007	568	405	163
27008	293	275	18
27009	198	153	45
27010	401	369	32
27011	525	407	118
27012	304	224	80
27013	519	463	56
27014	185	176	9
27015	187	176	11
27016	447	359	88
27017	379	337	42
27018	277	249	28
27019	183	173	10
27020	295	284	11
27021	414	339	75
27022	182	171	11
27023	275	266	9
27024	264	240	24
27025	345	294	51
27026	296	262	34
27027	475	418	57
27028	386	313	73
27029	253	226	27
27030	173	161	12
27031	291	255	36
27032	348	304	44
27033	427	345	82
27034	258	239	19
27035	468	330	138
27036	320	259	61
27037	459	387	72
27038	584	490	94
27039	273	249	24
27040	546	425	121
27041	309	298	11
27042	271	223	48
27043	250	211	39
27044	256	244	12
27045	864	661	203
27046	321	247	74
27047	250	221	29
27048	745	640	105
27049	272	258	14
27050	343	327	16
28001	206	199	7
28002	282	254	28
28003	256	242	14
28004	302	221	81
28005	202	179	23
28006	181	146	35
28007	287	277	10
28008	396	309	87
28009	294	282	12
28010	417	338	79
28011	643	553	90
28012	307	298	9
28013	346	330	16
28014	231	226	5
28015	61	57	4
28016	193	188	5
28017	269	260	9
28018	273	262	11
28019	276	206	70
28020	284	258	26
28021	251	243	8
28022	278	237	41
28023	342	322	20
28024	245	232	13
28025	416	390	26
28026	295	283	12
28027	323	242	81
28028	397	314	83
28029	159	150	9
28030	48	43	5
28031	400	384	16
28032	281	267	14
28033	319	306	13
28034	540	507	33
28035	368	362	6
28036	175	173	2
28037	375	363	12
28038	141	131	10
28039	224	214	10
28040	401	394	7
28041	228	219	9
28042	301	287	14
28043	376	366	10
28044	214	207	7
28045	407	305	102
28046	612	465	147
29001	496	410	86
29002	501	485	16
29003	416	400	16
29004	398	389	9
29005	315	304	11
29006	318	311	7
29007	391	346	45
29008	338	322	16
29009	415	337	78
29010	512	418	94
29011	226	214	12
29012	465	439	26
29013	397	386	11
29014	350	340	10
29015	438	416	22
29016	369	356	13
29017	345	327	18
29018	367	345	22
29019	395	376	19
29020	450	429	21
29021	480	467	13
29022	260	224	36
29023	409	337	72
29024	345	327	18
29025	452	442	10
29026	379	335	44
29027	343	334	9
29028	455	433	22
29029	342	253	89
29030	500	437	63
29031	362	259	103
29032	354	242	112
29033	276	255	21
29034	270	249	21
29035	290	275	15
29036	330	315	15
29037	367	345	22
29038	398	320	78
29039	351	283	68
29040	434	419	15
29041	300	292	8
29042	424	413	11
29043	473	419	54
29044	479	440	39
30001	442	342	100
30002	385	310	75
30003	333	252	81
30004	364	286	78
30005	259	226	33
30006	319	278	41
30007	418	311	107
30008	487	343	144
30009	305	246	59
30010	396	346	50
30011	357	327	30
30012	326	278	48
30013	372	310	62
30014	246	212	34
30015	379	275	104
30016	174	148	26
30017	363	296	67
30018	479	368	111
30019	348	309	39
30020	405	331	74
30021	285	228	57
30022	546	412	134
30023	432	342	90
30024	512	369	143
30025	552	404	148
30026	227	179	48
30027	249	194	55
30028	401	293	108
30029	212	181	31
30030	171	149	22
30031	244	198	46
30032	303	225	78
31001	238	205	33
31002	214	192	22
31003	201	159	42
31004	366	263	103
31005	279	234	45
31006	176	152	24
31007	417	294	123
31008	201	167	34
31009	235	188	47
31010	225	187	38
31011	198	167	31
31012	235	183	52
31013	257	218	39
31014	216	173	43
31015	224	183	41
31016	314	220	94
31017	232	186	46
31018	244	207	37
31019	229	195	34
31020	224	194	30
31021	231	201	30
31022	218	192	26
31023	256	194	62
31024	242	197	45
31025	240	211	29
31026	280	223	57
31027	270	227	43
31028	214	175	39
31029	269	226	43
31030	196	166	30
31031	206	170	36
31032	204	171	33
31033	208	173	35
31034	237	190	47
31035	277	235	42
31036	284	241	43
31037	244	202	42
31038	198	176	22
31039	291	222	69
31040	292	216	76
31041	219	190	29
32001	569	428	141
32002	521	410	111
32003	582	414	168
32004	480	384	96
32005	532	402	130
32006	611	482	129
32007	547	435	112
32008	628	453	175
32009	489	377	112
32010	530	398	132
32011	485	335	150
32012	399	266	133
32013	523	403	120
32014	539	365	174
32015	510	386	124
32016	538	404	134
32017	534	372	162
32018	457	351	106
32019	523	388	135
32020	515	378	137
32021	552	412	140
32022	686	487	199
32023	573	437	136
32024	392	292	100
32025	524	384	140
32026	600	420	180
32027	483	363	120
32028	549	368	181
32029	585	452	133
32030	516	404	112
32031	542	422	120
32032	584	446	138
32033	523	412	111
32034	588	461	127
32035	555	415	140
32036	564	429	135
32037	513	389	124
32038	476	375	101
32039	562	419	143
32040	571	440	131
32041	543	396	147
32042	459	340	119
32043	505	367	138
33001	500	381	119
33002	630	476	154
33003	728	530	198
33004	688	511	177
33005	469	349	120
33006	439	371	68
33007	585	433	152
33008	689	506	183
33009	566	427	139
33010	486	376	110
33011	565	429	136
33012	500	390	110
33013	499	363	136
33014	268	197	71
33015	513	398	115
33016	663	506	157
33017	580	424	156
33018	710	528	182
33019	581	444	137
33020	619	473	146
33021	542	419	123
33022	464	361	103
33023	554	411	143
33024	684	503	181
33025	639	495	144
33026	433	304	129
33027	566	430	136
33028	515	368	147
34001	398	388	10
34002	284	278	6
34003	372	360	12
34004	270	262	8
34005	316	308	8
34006	423	404	19
34007	412	399	13
34008	303	291	12
34009	251	239	12
34010	351	338	13
34011	307	293	14
34012	389	367	22
34013	359	341	18
34014	272	262	10
34015	323	312	11
34016	303	292	11
34017	466	441	25
34018	276	266	10
34019	391	372	19
34020	400	380	20
34021	419	396	23
34022	369	346	23
34023	295	277	18
34024	325	307	18
34025	544	531	13
34026	390	381	9
34027	301	295	6
34028	219	211	8
34029	291	286	5
34030	353	343	10
34031	303	290	13
34032	358	341	17
34033	289	273	16
34034	378	360	18
34035	399	378	21
34036	313	294	19
34037	215	210	5
34038	171	165	6
34039	241	230	11
34040	397	384	13
34041	217	213	4
34042	355	330	25
34043	334	321	13
34044	374	359	15
34045	384	378	6
34046	247	240	7
34047	359	351	8
34048	362	345	17
34049	337	325	12
34050	297	284	13
34051	371	356	15
34052	268	259	9
34053	227	216	11
35001	452	354	98
35002	505	366	139
35003	415	299	116
35004	422	311	111
35005	409	301	108
35006	429	306	123
35007	473	342	131
35008	483	354	129
35009	376	304	72
35010	598	397	201
35011	497	358	139
35012	291	238	53
35013	288	248	40
35014	307	254	53
35015	545	388	157
35016	244	211	33
35017	505	364	141
35018	281	242	39
35019	232	206	26
35020	395	301	94
35021	392	290	102
35022	552	408	144
35023	444	352	92
35024	401	275	126
35025	512	357	155
35026	390	280	110
35027	376	287	89
35028	433	313	120
35029	362	289	73
35030	409	335	74
35031	457	328	129
36001	327	287	40
36002	319	275	44
36003	312	266	46
36004	324	287	37
36005	321	282	39
36006	288	252	36
36007	407	289	118
36008	248	222	26
36009	310	277	33
36010	414	337	77
36011	240	203	37
36012	214	184	30
36013	237	212	25
36014	354	267	87
36015	357	281	76
36016	356	294	62
36017	398	311	87
36018	362	276	86
36019	399	344	55
36020	375	293	82
36021	272	236	36
36022	259	237	22
36023	280	243	37
36024	338	271	67
36025	334	295	39
36026	320	248	72
36027	338	273	65
36028	296	225	71
36029	362	293	69
36030	340	277	63
37001	232	216	16
37002	275	253	22
37003	239	226	13
37004	259	240	19
37005	368	352	16
37006	368	357	11
37007	239	229	10
37008	227	216	11
37009	342	330	12
37010	390	370	20
37011	230	218	12
37012	249	225	24
37013	236	220	16
37014	338	321	17
37015	325	314	11
37016	363	347	16
37017	272	260	12
37018	290	274	16
37019	237	222	15
37020	277	269	8
37021	301	277	24
37022	293	267	26
37023	310	299	11
37024	360	339	21
37025	293	283	10
37026	429	406	23
37027	302	291	11
37028	281	263	18
37029	298	282	16
37030	329	313	16
37031	332	318	14
37032	290	268	22
37033	344	327	17
37034	317	308	9
37035	350	337	13
37036	321	309	12
37037	363	347	16
37038	329	316	13
37039	310	292	18
37040	336	326	10
37041	335	324	11
38001	372	286	86
38002	342	228	114
38003	364	254	110
38004	328	239	89
38005	364	252	112
38006	352	247	105
38007	314	221	93
38008	326	234	92
38009	403	278	125
38010	294	215	79
38011	328	239	89
38012	310	218	92
38013	373	263	110
38014	403	287	116
38015	332	258	74
38016	339	263	76
38017	445	297	148
38018	403	267	136
38019	435	310	125
38020	345	246	99
38021	320	233	87
38022	368	269	99
38023	378	280	98
38024	366	253	113
38025	326	250	76
38026	386	285	101
38027	371	254	117
38028	418	279	139
38029	363	284	79
38030	350	260	90
38031	380	275	105
38032	367	275	92
