Precinct	total_votes	votes|Rahm Emanuel	votes|Jesus ''Chuy'' Garcia
38029	295	170	125
38030	297	174	123
38031	302	162	140
38032	277	166	111
38033	285	147	138
38034	277	152	125
38035	292	155	137
38036	267	168	99
38037	325	156	169
38038	257	154	103
38039	353	197	156
38040	307	197	110
38041	319	204	115
39001	306	196	110
39002	405	284	121
39003	317	194	123
39004	319	203	116
39005	312	161	151
39006	287	134	153
39007	273	128	145
39008	334	133	201
39009	302	180	122
39010	150	77	73
39011	271	158	113
39012	339	161	178
39013	279	162	117
39014	255	152	103
39015	356	250	106
39016	223	94	129
39017	341	191	150
39018	306	155	151
39019	307	166	141
39020	368	244	124
39021	300	193	107
39022	229	95	134
39023	378	243	135
39024	417	251	166
39025	226	114	112
39026	317	188	129
39027	72	48	24
39028	357	193	164
39029	136	76	60
39030	328	151	177
39031	250	117	133
39032	308	182	126
39033	307	177	130
39034	288	164	124
39035	305	136	169
39036	121	83	38
39037	351	247	104
39038	211	155	56
39039	199	109	90
39040	269	170	99
39041	372	243	129
39042	359	250	109
39043	376	240	136
39044	259	187	72
39045	348	236	112
40001	265	146	119
40002	284	143	141
40003	353	187	166
40004	229	127	102
40005	329	182	147
40006	349	148	201
40007	342	192	150
40008	365	179	186
40009	257	161	96
40010	336	173	163
40011	341	195	146
40012	213	128	85
40013	395	178	217
40014	255	145	110
40015	274	155	119
40016	351	190	161
40017	297	167	130
40018	231	99	132
40019	396	213	183
40020	276	159	117
40021	357	202	155
40022	281	147	134
40023	380	197	183
40024	263	142	121
40025	346	202	144
40026	346	179	167
40027	402	184	218
40028	328	147	181
40029	356	226	130
40030	365	253	112
40031	358	177	181
40032	365	197	168
40033	333	168	165
40034	286	161	125
40035	210	119	91
40036	307	183	124
40037	324	155	169
40038	376	180	196
40039	95	42	53
41001	384	234	150
41002	442	285	157
41003	340	193	147
41004	478	308	170
41005	428	275	153
41006	500	372	128
41007	470	326	144
41008	425	255	170
41009	391	220	171
41010	467	320	147
41011	445	271	174
41012	387	238	149
41013	444	266	178
41014	477	352	125
41015	477	298	179
41016	373	223	150
41017	415	284	131
41018	374	232	142
41019	438	290	148
41020	329	218	111
41021	390	276	114
41022	426	253	173
41023	420	281	139
41024	369	228	141
41025	203	117	86
41026	425	255	170
41027	276	184	92
41028	263	152	111
41029	214	150	64
41030	402	236	166
41031	456	325	131
41032	314	199	115
41033	354	213	141
41034	353	231	122
41035	457	285	172
41036	396	242	154
41037	438	273	165
41038	349	195	154
41039	416	275	141
41040	466	299	167
41041	428	282	146
41042	419	269	150
41043	413	269	144
41044	455	321	134
41045	343	200	143
41046	446	282	164
41047	398	255	143
42001	419	383	36
42002	262	202	60
42003	256	199	57
42004	463	388	75
42005	251	235	16
42006	447	341	106
42007	436	385	51
42008	347	289	58
42009	315	245	70
42010	287	242	45
42011	283	226	57
42012	312	271	41
42013	430	338	92
42014	298	268	30
42015	234	209	25
42016	303	238	65
42017	329	300	29
42018	248	210	38
42019	433	393	40
42020	239	209	30
42021	247	194	53
42022	181	167	14
42023	310	280	30
42024	371	318	53
42025	345	289	56
42026	348	300	48
42027	294	220	74
42028	424	333	91
42029	301	265	36
42030	369	328	41
42031	329	293	36
42032	255	227	28
42033	312	245	67
42034	401	369	32
42035	421	347	74
42036	338	285	53
42037	200	185	15
42038	295	264	31
42039	260	226	34
42040	320	280	40
42041	286	228	58
42042	346	290	56
43001	215	166	49
43002	349	301	48
43003	411	365	46
43004	345	310	35
43005	269	238	31
43006	253	204	49
43007	258	208	50
43008	296	241	55
43009	434	355	79
43010	406	348	58
43011	287	245	42
43012	220	187	33
43013	317	241	76
43014	403	364	39
43015	341	280	61
43016	321	264	57
43017	289	255	34
43018	382	329	53
43019	385	316	69
43020	393	307	86
43021	382	296	86
43022	205	157	48
43023	186	151	35
43024	246	203	43
43025	307	252	55
43026	285	248	37
43027	337	286	51
43028	428	374	54
43029	321	244	77
43030	354	286	68
43031	391	307	84
43032	353	298	55
43033	429	389	40
43034	276	224	52
43035	447	399	48
43036	120	74	46
43037	284	231	53
43038	399	373	26
43039	272	196	76
43040	194	134	60
43041	459	379	80
43042	312	248	64
43043	461	409	52
43044	337	288	49
43045	250	212	38
43046	180	153	27
44001	524	388	136
44002	317	251	66
44003	320	269	51
44004	410	334	76
44005	278	185	93
44006	311	247	64
44007	306	256	50
44008	361	262	99
44009	272	213	59
44010	279	226	53
44011	301	232	69
44012	372	281	91
44013	246	212	34
44014	268	216	52
44015	334	246	88
44016	336	257	79
44017	411	314	97
44018	314	245	69
44019	401	289	112
44020	216	140	76
44021	298	232	66
44022	371	287	84
44023	284	213	71
44024	323	243	80
44025	296	230	66
44026	280	202	78
44027	358	273	85
44028	320	228	92
44029	304	225	79
44030	325	241	84
44031	243	188	55
44032	330	244	86
44033	255	176	79
44034	364	268	96
44035	444	355	89
44036	286	222	64
44037	339	244	95
44038	268	212	56
44039	278	229	49
44040	300	230	70
44041	340	258	82
45001	261	140	121
45002	283	151	132
45003	294	176	118
45004	408	229	179
45005	378	236	142
45006	445	281	164
45007	484	281	203
45008	328	164	164
45009	330	169	161
45010	389	188	201
45011	258	117	141
45012	320	164	156
45013	351	193	158
45014	424	262	162
45015	470	268	202
45016	318	194	124
45017	376	235	141
45018	356	209	147
45019	174	112	62
45020	221	126	95
45021	333	206	127
45022	324	201	123
45023	360	223	137
45024	325	192	133
45025	285	173	112
45026	191	113	78
45027	315	187	128
45028	274	167	107
45029	226	141	85
45030	305	183	122
45031	289	182	107
45032	321	187	134
45033	236	150	86
45034	369	220	149
45035	422	257	165
45036	400	240	160
45037	325	201	124
45038	288	173	115
45039	324	197	127
45040	363	238	125
45041	339	207	132
45042	399	254	145
45043	427	250	177
45044	378	245	133
45045	243	140	103
45046	263	158	105
45047	284	164	120
45048	292	197	95
46001	311	174	137
46002	329	207	122
46003	457	353	104
46004	367	235	132
46005	297	221	76
46006	315	184	131
46007	492	352	140
46008	282	149	133
46009	324	218	106
46010	329	233	96
46011	322	218	104
46012	318	177	141
46013	317	218	99
46014	428	217	211
46015	347	252	95
46016	357	201	156
46017	432	310	122
46018	311	219	92
46019	263	198	65
46020	351	200	151
46021	226	135	91
46022	289	115	174
46023	284	175	109
46024	376	283	93
46025	350	185	165
46026	280	166	114
46027	329	213	116
46028	421	309	112
46029	304	208	96
46030	334	191	143
46031	292	197	95
46032	416	214	202
46033	358	283	75
46034	346	221	125
46035	410	266	144
46036	364	273	91
46037	247	159	88
46038	299	180	119
46039	316	249	67
46040	297	165	132
47001	191	133	58
47002	418	290	128
47003	460	352	108
47004	398	272	126
47005	340	222	118
47006	326	237	89
47007	304	183	121
47008	400	291	109
47009	260	160	100
47010	336	190	146
47011	276	210	66
47012	360	221	139
47013	328	178	150
47014	321	218	103
47015	350	142	208
47016	383	235	148
47017	317	201	116
47018	345	251	94
47019	357	185	172
47020	355	202	153
47021	301	181	120
47022	386	229	157
47023	357	179	178
47024	307	204	103
47025	345	222	123
47026	360	193	167
47027	282	184	98
47028	351	217	134
47029	333	223	110
47030	351	202	149
47031	317	161	156
47032	357	199	158
47033	343	272	71
47034	403	253	150
47035	318	221	97
47036	359	207	152
47037	361	223	138
47038	318	201	117
47039	370	252	118
47040	372	229	143
47041	401	246	155
47042	289	133	156
47043	305	213	92
47044	355	267	88
47045	359	215	144
47046	329	197	132
47047	344	231	113
47048	51	42	9
48001	300	149	151
48002	203	142	61
48003	328	179	149
48004	301	187	114
48005	250	160	90
48006	348	215	133
48007	333	184	149
48008	276	184	92
48009	275	187	88
48010	427	225	202
48011	303	179	124
48012	371	229	142
48013	470	313	157
48014	228	160	68
48015	207	128	79
48016	302	156	146
48017	326	188	138
48018	314	213	101
48019	260	156	104
48020	369	175	194
48021	378	219	159
48022	372	253	119
48023	461	280	181
48024	345	205	140
48025	345	201	144
48026	184	112	72
48027	276	151	125
48028	423	293	130
48029	233	184	49
48030	292	153	139
48031	359	183	176
48032	258	125	133
48033	253	194	59
48034	308	162	146
48035	274	184	90
48036	265	180	85
48037	306	137	169
48038	390	250	140
48039	317	205	112
48040	287	143	144
48041	296	150	146
48042	327	160	167
48043	357	209	148
48044	366	197	169
48045	220	111	109
48046	243	153	90
49001	189	102	87
49002	220	111	109
49003	361	168	193
49004	355	147	208
49005	368	203	165
49006	264	122	142
49007	288	148	140
49008	266	143	123
49009	311	147	164
49010	347	153	194
49011	380	175	205
49012	398	177	221
49013	405	194	211
49014	306	177	129
49015	228	107	121
49016	350	204	146
49017	277	153	124
49018	420	178	242
49019	272	134	138
49020	456	200	256
49021	225	125	100
49022	368	168	200
49023	324	131	193
49024	252	132	120
49025	376	174	202
49026	384	193	191
49027	335	141	194
49028	338	149	189
49029	352	152	200
49030	322	154	168
49031	256	160	96
49032	325	180	145
49033	280	125	155
50001	323	245	78
50002	180	117	63
50003	279	194	85
50004	316	182	134
50005	264	192	72
50006	311	172	139
50007	369	194	175
50008	263	134	129
50009	248	132	116
50010	317	220	97
50011	252	207	45
50012	158	134	24
50013	243	99	144
50014	106	81	25
50015	365	204	161
50016	123	97	26
50017	226	134	92
50018	88	82	6
50019	200	71	129
50020	318	129	189
50021	234	120	114
50022	249	169	80
50023	241	158	83
50024	320	246	74
50025	320	239	81
50026	272	131	141
50027	88	73	15
50028	313	154	159
50029	218	91	127
50030	209	106	103
50031	286	131	155
50032	256	123	133
50033	282	224	58
50034	386	235	151
50035	329	167	162
50036	281	148	133
50037	281	159	122
50038	170	131	39
50039	209	146	63
50040	368	278	90
