Precinct	total_votes	votes|Christopher E.K. Pfannkuche	votes|Kim Foxx
16025	431	10	421
16026	359	5	354
16027	371	6	365
16028	369	8	361
16029	389	4	385
16030	376	14	362
16031	408	5	403
16032	464	45	419
16033	382	2	380
16034	361	7	354
16035	480	34	446
16036	301	9	292
17001	425	41	384
17002	441	9	432
17003	486	16	470
17004	608	5	603
17005	373	12	361
17006	434	13	421
17007	436	42	394
17008	452	14	438
17009	370	2	368
17010	594	16	578
17011	402	10	392
17012	589	34	555
17013	420	15	405
17014	479	26	453
17015	529	15	514
17016	471	33	438
17017	435	22	413
17018	467	10	457
17019	322	7	315
17020	535	2	533
17021	501	8	493
17022	419	9	410
17023	303	6	297
17024	500	7	493
17025	368	11	357
17026	530	10	520
17027	448	9	439
17028	364	6	358
17029	453	9	444
17030	407	52	355
17031	328	9	319
17032	411	6	405
17033	345	9	336
17034	353	7	346
17035	387	7	380
17036	467	4	463
17037	397	7	390
17038	502	10	492
17039	461	9	452
17040	456	9	447
17041	533	8	525
18001	431	22	409
18002	435	85	350
18003	400	125	275
18004	467	18	449
18005	341	5	336
18006	413	131	282
18007	484	53	431
18008	450	16	434
18009	424	27	397
18010	554	21	533
18011	381	55	326
18012	437	20	417
18013	480	21	459
18014	457	15	442
18015	513	80	433
18016	423	22	401
18017	473	31	442
18018	370	4	366
18019	438	11	427
18020	379	3	376
18021	546	26	520
18022	482	14	468
18023	432	26	406
18024	435	112	323
18025	466	109	357
18026	524	24	500
18027	375	26	349
18028	435	136	299
18029	483	59	424
18030	503	148	355
18031	481	20	461
18032	481	7	474
18033	369	6	363
18034	515	28	487
18035	484	24	460
18036	484	66	418
18037	499	13	486
18038	414	5	409
18039	403	14	389
18040	525	87	438
18041	516	13	503
18042	428	25	403
18043	362	91	271
18044	392	132	260
18045	457	47	410
18046	486	118	368
18047	395	20	375
18048	378	7	371
18049	309	11	298
18050	392	16	376
19001	436	239	197
19002	617	116	501
19003	388	281	107
19004	560	356	204
19005	507	164	343
19006	499	325	174
19007	453	211	242
19008	548	376	172
19009	379	212	167
19010	576	182	394
19011	501	356	145
19012	410	286	124
19013	585	35	550
19014	533	146	387
19015	651	431	220
19016	503	332	171
19017	441	252	189
19018	443	167	276
19019	605	220	385
19020	421	70	351
19021	519	335	184
19022	506	197	309
19023	484	270	214
19024	357	247	110
19025	450	194	256
19026	509	238	271
19027	479	67	412
19028	564	37	527
19029	525	335	190
19030	459	305	154
19031	436	195	241
19032	427	232	195
19033	498	339	159
19034	455	188	267
19035	435	173	262
19036	693	86	607
19037	465	79	386
19038	437	63	374
19039	221	19	202
19040	515	146	369
19041	468	310	158
19042	375	89	286
19043	680	33	647
19044	550	374	176
19045	475	275	200
19046	489	291	198
19047	684	118	566
19048	630	19	611
19049	576	72	504
19050	399	186	213
19051	516	253	263
19052	561	358	203
19053	443	205	238
19054	401	270	131
19055	428	284	144
19056	515	179	336
19057	406	103	303
20001	511	9	502
20002	220	11	209
20003	401	2	399
20004	249	16	233
20005	507	15	492
20006	265	14	251
20007	517	14	503
20008	451	7	444
20009	640	9	631
20010	415	5	410
20011	618	14	604
20012	418	9	409
20013	554	4	550
20014	268	8	260
20015	489	57	432
20016	519	21	498
20017	308	19	289
20018	381	8	373
20019	517	12	505
20020	402	46	356
20021	421	11	410
20022	485	15	470
20023	577	8	569
20024	490	19	471
20025	394	8	386
20026	496	35	461
20027	274	4	270
20028	306	4	302
20029	559	16	543
20030	249	7	242
20031	588	13	575
20032	483	11	472
20033	341	6	335
20034	708	39	669
20035	466	6	460
20036	186	2	184
20037	176	3	173
20038	212	12	200
20039	61	0	61
21001	461	8	453
21002	396	3	393
21003	494	8	486
21004	482	4	478
21005	518	9	509
21006	421	4	417
21007	471	6	465
21008	506	10	496
21009	484	4	480
21010	446	12	434
21011	445	3	442
21012	448	5	443
21013	489	9	480
21014	529	12	517
21015	440	5	435
21016	425	4	421
21017	435	9	426
21018	521	11	510
21019	488	3	485
21020	445	3	442
21021	391	6	385
21022	443	14	429
21023	427	8	419
21024	460	9	451
21025	413	5	408
21026	509	17	492
21027	444	4	440
21028	590	11	579
21029	508	9	499
21030	398	13	385
21031	317	7	310
21032	455	7	448
21033	465	6	459
21034	497	8	489
21035	478	4	474
21036	483	14	469
21037	391	7	384
21038	492	8	484
21039	404	4	400
21040	423	7	416
21041	444	8	436
21042	508	9	499
21043	472	4	468
21044	462	12	450
21045	428	15	413
21046	510	8	502
21047	476	8	468
21048	440	9	431
21049	514	8	506
21050	393	9	384
21051	444	6	438
21052	488	11	477
21053	374	13	361
21054	412	9	403
22001	277	4	273
22002	512	172	340
22003	587	60	527
22004	361	27	334
22005	440	41	399
22006	433	36	397
22007	328	32	296
22008	572	134	438
22009	398	37	361
22010	594	66	528
22011	380	40	340
22012	383	83	300
22013	420	51	369
22014	358	28	330
22015	392	43	349
22016	366	35	331
22017	476	51	425
22018	428	34	394
22019	272	6	266
22020	416	48	368
22021	534	7	527
22022	391	36	355
22023	585	18	567
22024	512	62	450
22025	432	34	398
23001	404	197	207
23002	414	190	224
23003	396	219	177
23004	463	178	285
23005	445	76	369
23006	469	100	369
23007	426	67	359
23008	496	155	341
23009	380	57	323
23010	501	104	397
23011	502	78	424
23012	397	223	174
23013	380	43	337
23014	362	178	184
23015	389	57	332
23016	390	217	173
23017	302	39	263
23018	378	172	206
23019	373	44	329
23020	316	54	262
23021	424	249	175
23022	420	150	270
23023	394	192	202
23024	382	71	311
23025	442	91	351
23026	431	88	343
23027	372	195	177
23028	411	182	229
23029	341	146	195
23030	492	89	403
23031	349	53	296
23032	435	73	362
23033	466	79	387
23034	427	70	357
23035	333	169	164
23036	394	202	192
23037	387	214	173
23038	362	163	199
23039	422	62	360
24001	390	6	384
24002	439	3	436
24003	490	8	482
24004	357	4	353
24005	284	13	271
24006	438	14	424
24007	263	25	238
24008	209	5	204
24009	470	16	454
24010	212	1	211
24011	503	14	489
24012	291	9	282
24013	281	9	272
24014	419	13	406
24015	290	10	280
24016	454	49	405
24017	356	5	351
24018	438	7	431
24019	523	11	512
24020	378	14	364
24021	235	4	231
24022	596	12	584
24023	431	10	421
24024	573	9	564
24025	332	7	325
24026	572	10	562
24027	456	6	450
24028	318	7	311
24029	298	5	293
24030	243	5	238
24031	489	12	477
24032	257	3	254
24033	271	4	267
24034	405	10	395
24035	411	8	403
24036	515	12	503
24037	296	5	291
24038	341	10	331
24039	466	30	436
24040	479	9	470
24041	315	4	311
25001	438	54	384
25002	512	49	463
25003	722	205	517
25004	541	65	476
25005	522	82	440
25006	150	45	105
25007	503	55	448
25008	560	54	506
25009	538	57	481
25010	820	295	525
25011	554	70	484
25012	478	72	406
25013	537	44	493
25014	301	77	224
25015	451	76	375
25016	774	274	500
25017	534	76	458
25018	329	74	255
25019	510	50	460
25020	450	16	434
25021	907	209	698
25022	506	56	450
25023	564	54	510
25024	524	70	454
25025	546	167	379
25026	482	62	420
25027	746	218	528
25028	527	60	467
25029	498	39	459
25030	497	62	435
25031	943	348	595
25032	440	91	349
26001	427	57	370
26002	388	46	342
26003	481	82	399
26004	298	27	271
26005	369	29	340
26006	330	38	292
26007	385	35	350
26008	219	38	181
26009	369	31	338
26010	374	41	333
26011	368	58	310
26012	420	41	379
26013	236	14	222
26014	310	33	277
26015	237	36	201
26016	237	19	218
26017	344	115	229
26018	326	42	284
26019	302	24	278
26020	349	50	299
26021	528	45	483
26022	254	26	228
26023	252	29	223
26024	376	31	345
26025	357	33	324
26026	296	35	261
26027	414	52	362
26028	530	124	406
26029	234	33	201
26030	313	21	292
26031	200	25	175
26032	482	105	377
26033	393	41	352
26034	445	37	408
26035	343	41	302
26036	404	69	335
26037	442	33	409
26038	226	22	204
26039	432	67	365
26040	267	28	239
26041	477	39	438
26042	309	42	267
26043	247	23	224
26044	231	18	213
26045	214	19	195
26046	299	82	217
26047	288	36	252
26048	386	49	337
26049	225	18	207
27001	696	225	471
27002	548	125	423
27003	309	13	296
27004	291	18	273
27005	367	14	353
27006	502	99	403
27007	681	103	578
27008	436	19	417
27009	261	88	173
27010	513	22	491
27011	586	189	397
27012	369	134	235
27013	566	44	522
27014	310	4	306
27015	355	9	346
27016	620	187	433
27017	523	34	489
27018	391	23	368
27019	333	18	315
27020	451	9	442
27021	527	176	351
27022	282	11	271
27023	377	4	373
27024	387	18	369
27025	452	49	403
27026	388	13	375
27027	632	58	574
27028	246	48	198
27029	389	14	375
27030	260	10	250
27031	397	14	383
27032	431	36	395
27033	511	117	394
27034	454	7	447
27035	551	173	378
27036	369	24	345
27037	562	126	436
27038	741	147	594
27039	335	16	319
27040	669	145	524
27041	442	15	427
27042	349	91	258
27043	410	18	392
27044	387	8	379
27045	963	283	680
27046	359	134	225
27047	359	33	326
27048	818	129	689
27049	373	7	366
27050	487	14	473
28001	411	8	403
28002	410	16	394
28003	390	10	380
28004	376	105	271
28005	219	12	207
28006	217	47	170
28007	496	8	488
28008	472	134	338
28009	436	8	428
28010	558	106	452
28011	864	101	763
28012	479	6	473
28013	419	11	408
28014	416	3	413
28015	152	4	148
28016	306	8	298
28017	418	6	412
28018	330	9	321
28019	384	65	319
28020	435	17	418
28021	379	8	371
28022	391	14	377
28023	553	13	540
28024	397	10	387
28025	541	15	526
28026	529	10	519
28027	440	132	308
28028	499	142	357
28029	251	7	244
28030	70	2	68
28031	570	14	556
28032	461	8	453
28033	526	7	519
28034	868	30	838
28035	532	10	522
28036	263	3	260
28037	601	13	588
28038	212	6	206
28039	357	4	353
28040	570	10	560
28041	351	7	344
28042	527	8	519
28043	578	9	569
28044	331	3	328
28045	481	135	346
28046	773	171	602
29001	606	145	461
29002	744	12	732
29003	606	15	591
29004	577	14	563
29005	491	8	483
29006	466	9	457
29007	474	63	411
29008	507	9	498
29009	540	154	386
29010	581	118	463
29011	320	17	303
29012	598	27	571
29013	567	17	550
29014	494	9	485
29015	587	14	573
29016	565	9	556
29017	485	8	477
29018	534	10	524
29019	566	8	558
29020	656	10	646
29021	703	16	687
29022	406	29	377
29023	509	150	359
29024	483	13	470
29025	588	7	581
29026	504	27	477
29027	449	10	439
29028	653	5	648
29029	484	196	288
29030	563	107	456
29031	480	214	266
29032	466	211	255
29033	351	17	334
29034	319	42	277
29035	393	5	388
29036	435	14	421
29037	480	16	464
29038	482	133	349
29039	440	126	314
29040	576	11	565
29041	444	14	430
29042	571	12	559
29043	582	78	504
29044	626	36	590
30001	532	120	412
30002	468	105	363
30003	363	73	290
30004	467	145	322
30005	391	82	309
30006	374	63	311
30007	522	129	393
30008	511	92	419
30009	393	104	289
30010	535	118	417
30011	445	70	375
30012	464	92	372
30013	432	106	326
30014	310	43	267
30015	397	111	286
30016	245	53	192
30017	471	117	354
30018	546	60	486
30019	476	60	416
30020	508	124	384
30021	364	103	261
30022	612	103	509
30023	542	86	456
30024	567	93	474
30025	618	123	495
30026	322	72	250
30027	315	68	247
30028	526	94	432
30029	327	59	268
30030	224	33	191
30031	305	88	217
30032	372	66	306
31001	307	43	264
31002	266	48	218
31003	317	57	260
31004	422	49	373
31005	338	63	275
31006	274	38	236
31007	515	59	456
31008	260	42	218
31009	366	54	312
31010	331	50	281
31011	290	67	223
31012	316	88	228
31013	341	36	305
31014	311	59	252
31015	280	59	221
31016	400	50	350
31017	316	75	241
31018	293	57	236
31019	279	57	222
31020	317	58	259
31021	325	53	272
31022	322	52	270
31023	317	58	259
31024	332	59	273
31025	309	70	239
31026	348	80	268
31027	345	66	279
31028	318	53	265
31029	316	60	256
31030	272	44	228
31031	302	75	227
31032	292	52	240
31033	317	79	238
31034	346	72	274
31035	341	68	273
31036	335	64	271
31037	294	36	258
31038	341	43	298
31039	347	32	315
31040	363	46	317
31041	312	48	264
32001	698	179	519
32002	685	213	472
32003	638	104	534
32004	579	149	430
32005	629	138	491
32006	676	162	514
32007	650	188	462
32008	749	262	487
32009	633	173	460
32010	641	204	437
32011	554	50	504
32012	440	50	390
32013	643	217	426
32014	614	82	532
32015	588	156	432
32016	599	129	470
32017	589	89	500
32018	578	226	352
32019	581	145	436
32020	585	57	528
32021	638	177	461
32022	775	122	653
32023	620	208	412
32024	502	203	299
32025	590	188	402
32026	626	93	533
32027	607	232	375
32028	590	74	516
32029	650	136	514
32030	620	237	383
32031	635	212	423
32032	614	166	448
32033	602	176	426
32034	653	143	510
32035	617	172	445
32036	636	177	459
32037	605	151	454
32038	599	160	439
32039	681	281	400
32040	631	170	461
32041	635	214	421
32042	560	159	401
32043	521	77	444
33001	621	104	517
33002	714	106	608
33003	696	107	589
33004	801	150	651
33005	544	114	430
33006	553	95	458
33007	653	93	560
33008	753	125	628
33009	674	159	515
33010	553	130	423
33011	662	120	542
33012	631	129	502
33013	599	88	511
33014	310	56	254
33015	680	101	579
33016	818	156	662
33017	678	140	538
33018	778	123	655
33019	668	146	522
33020	713	101	612
33021	656	114	542
33022	569	121	448
33023	654	119	535
33024	754	149	605
33025	748	137	611
33026	488	69	419
33027	665	125	540
33028	566	62	504
34001	495	7	488
34002	357	6	351
34003	521	11	510
34004	400	7	393
34005	433	4	429
34006	532	19	513
34007	500	3	497
34008	397	7	390
34009	434	14	420
34010	457	3	454
34011	434	8	426
34012	510	16	494
34013	504	7	497
34014	401	16	385
34015	470	10	460
34016	424	10	414
34017	601	11	590
34018	378	8	370
34019	599	12	587
34020	526	6	520
34021	517	10	507
34022	430	11	419
34023	395	6	389
34024	440	7	433
34025	503	11	492
34026	520	4	516
34027	430	9	421
34028	355	8	347
34029	394	6	388
34030	409	8	401
34031	426	15	411
34032	464	6	458
34033	449	8	441
34034	499	10	489
34035	539	11	528
34036	426	5	421
34037	347	11	336
34038	277	5	272
34039	362	6	356
34040	530	6	524
34041	347	7	340
34042	439	7	432
34043	414	6	408
34044	460	6	454
34045	482	11	471
34046	301	5	296
34047	492	10	482
34048	480	8	472
34049	566	14	552
34050	433	8	425
34051	484	14	470
34052	339	4	335
34053	369	9	360
35001	528	82	446
35002	520	79	441
35003	497	44	453
35004	504	101	403
35005	476	55	421
35006	492	89	403
35007	522	58	464
35008	519	57	462
35009	488	87	401
35010	686	64	622
35011	547	70	477
35012	364	37	327
35013	375	47	328
35014	411	57	354
35015	606	84	522
35016	351	44	307
35017	581	57	524
35018	405	46	359
35019	319	36	283
35020	493	77	416
35021	463	59	404
35022	612	93	519
35023	525	93	432
35024	483	82	401
35025	643	67	576
35026	455	94	361
35027	484	80	404
35028	495	76	419
35029	503	73	430
35030	530	82	448
35031	560	109	451
36001	491	105	386
36002	471	70	401
36003	421	65	356
36004	478	64	414
36005	446	76	370
36006	403	67	336
36007	508	215	293
36008	386	49	337
36009	437	48	389
36010	516	119	397
36011	368	43	325
36012	295	28	267
36013	309	33	276
36014	491	134	357
36015	490	149	341
36016	472	139	333
36017	467	128	339
36018	443	156	287
36019	560	120	440
36020	449	128	321
36021	411	58	353
36022	416	51	365
36023	425	62	363
36024	466	148	318
36025	457	52	405
36026	406	161	245
36027	435	109	326
36028	428	155	273
36029	495	167	328
36030	457	123	334
37001	388	24	364
37002	373	19	354
37003	397	10	387
37004	417	20	397
37005	484	11	473
37006	484	16	468
37007	335	23	312
37008	383	13	370
37009	531	12	519
37010	545	40	505
37011	399	6	393
37012	379	33	346
37013	367	14	353
37014	523	10	513
37015	506	13	493
37016	513	24	489
37017	438	9	429
37018	451	12	439
37019	424	14	410
37020	414	10	404
37021	420	26	394
37022	432	27	405
37023	460	14	446
37024	506	11	495
37025	461	11	450
37026	566	24	542
37027	504	15	489
37028	424	20	404
37029	472	14	458
37030	468	3	465
37031	493	11	482
37032	445	13	432
37033	540	13	527
37034	471	7	464
37035	496	1	495
37036	482	6	476
37037	557	17	540
37038	505	13	492
37039	465	12	453
37040	503	18	485
37041	461	19	442
38001	424	128	296
38002	504	333	171
38003	497	202	295
38004	459	199	260
38005	486	214	272
38006	496	211	285
38007	442	217	225
38008	449	184	265
38009	517	250	267
38010	446	176	270
38011	439	160	279
38012	468	282	186
38013	496	236	260
38014	516	201	315
38015	442	166	276
38016	480	214	266
38017	544	299	245
38018	489	214	275
38019	532	209	323
38020	486	270	216
38021	410	156	254
38022	442	164	278
38023	510	185	325
38024	520	249	271
38025	403	157	246
38026	481	196	285
38027	506	225	281
38028	578	286	292
38029	452	172	280
38030	455	219	236
38031	483	176	307
38032	463	149	314
38033	463	167	296
