Precinct	total_votes	votes|Debbie Meyers-Martin (Biden)	votes|Vernard Alsberry (Biden)	votes|Michael W. Smith (Biden)	votes|Sheila Chalmers-Currin (Biden)	votes|Lamar C. Brown (Biden)	votes|Marrice Coverson (Biden)	votes|Cory Thames (Biden)	votes|André J. Washington (Warren)	votes|Hope Zawaski (Warren)	votes|Al Riley (Warren)	votes|Cleopatra Watson (Warren)	votes|Jaylin McClinton (Warren)	votes|Amanda Jo Greep (Warren)	votes|David Bonner (Warren)	votes|Aisha El-Amin (Sanders)	votes|Maureen Forte (Sanders)	votes|Sukari Campbell (Sanders)	votes|Abdul Malik Mujahid (Sanders)	votes|John Willard (Sanders)	votes|Kenneth Franklin (Sanders)	votes|Lyle C. Evans, Jr. (Sanders)	votes|Kenneth Henderson (Yang)	votes|Sanovia Reynolds-Parks (Yang)	votes|Juan Juarez (Yang)	votes|Paula Wilson (Yang)	votes|Reggie Greenwood (Yang)	votes|Monique Williams (Yang)	votes|Kyle Summers (Yang)	votes|Emily Higgs (Buttigieg)	votes|Randall Krause-Vinson (Buttigieg)	votes|Sherry Newquist (Buttigieg)	votes|Alfred Saucedo (Buttigieg)	votes|Micaela G. Smith (Klobuchar)	votes|Kristal Hudson-Davis (Klobuchar)
Thornton 39	1103	125	114	122	114	119	110	110	7	7	9	13	6	1	2	27	29	23	37	32	33	33	5	2	4	3	2	5	2	4	1	0	0	1	1
Thornton 40	1129	130	120	122	119	123	119	114	9	4	8	11	7	3	4	26	23	23	32	33	32	30	3	1	3	2	4	4	6	5	0	2	2	2	3
Thornton 41	984	121	107	108	109	110	106	99	7	6	5	10	7	1	4	14	14	15	21	21	22	21	7	3	8	8	3	11	1	4	1	2	2	4	2
Thornton 42	1109	127	110	119	114	116	107	111	8	2	9	7	3	0	1	34	25	27	34	32	35	33	8	5	2	6	5	10	6	4	2	3	0	1	3
Thornton 43	1132	121	108	114	112	111	101	105	10	1	3	4	5	1	5	35	36	35	41	37	40	38	2	3	10	7	8	12	4	6	2	4	5	2	4
Thornton 44	958	108	95	100	99	97	91	93	11	4	4	11	2	4	3	19	21	20	33	29	34	29	7	1	5	6	6	4	2	5	3	2	4	4	2
Thornton 45	1564	188	173	179	176	172	160	163	6	2	11	7	4	0	4	31	35	31	46	44	48	41	3	2	5	6	8	3	3	4	1	0	1	3	4
Thornton 46	1769	195	176	195	186	181	169	170	11	8	6	11	7	5	5	45	48	43	57	61	62	56	11	4	7	7	4	9	3	6	3	4	3	3	8
Thornton 47	950	91	87	87	87	85	83	87	5	11	6	9	4	4	3	31	37	34	41	41	37	39	5	1	3	5	3	4	3	4	2	4	2	1	4
Thornton 48	1463	165	150	154	145	156	145	144	13	9	13	13	7	2	4	31	31	29	46	50	54	45	7	6	7	9	5	9	5	5	1	0	1	2	0
Thornton 49	586	75	64	65	70	65	66	66	3	2	5	1	3	1	1	5	9	7	14	14	17	9	6	1	2	4	2	2	1	2	0	0	3	1	0
Thornton 50	1190	128	113	122	123	121	117	116	11	5	5	12	4	6	5	29	33	27	33	38	41	32	10	7	8	5	7	9	3	5	1	1	2	6	5
Thornton 51	1066	91	84	88	85	89	85	85	7	6	3	5	1	2	0	46	49	48	57	58	58	54	5	6	5	7	3	7	5	7	4	5	4	3	4
Thornton 52	1849	215	192	200	195	195	173	183	13	9	8	16	4	4	3	48	46	50	59	60	60	56	3	6	7	8	8	11	2	2	0	3	1	6	3
Thornton 53	1006	114	104	109	106	106	107	101	8	6	0	7	6	4	1	23	28	23	32	33	35	28	3	0	2	5	2	4	2	0	0	3	1	1	2
Thornton 54	2526	311	288	298	289	292	284	277	18	12	13	13	7	8	4	43	46	36	62	51	57	59	4	3	5	4	3	10	4	5	4	4	1	6	5
Thornton 55	1226	140	135	132	139	130	130	131	5	3	7	6	3	4	4	32	34	29	30	33	33	31	1	5	3	2	2	4	5	3	2	3	3	0	2
Thornton 56	992	102	86	84	95	91	81	86	8	8	10	14	6	5	4	28	33	28	44	41	43	43	5	3	7	3	5	6	1	4	2	4	2	3	7
Thornton 57	914	83	80	86	88	81	81	78	3	4	3	7	2	4	3	36	35	32	42	41	43	39	4	3	3	4	2	4	1	7	3	5	4	0	3
Thornton 58	1613	179	160	173	166	174	152	149	9	6	4	4	6	3	2	53	53	46	57	59	64	51	3	4	9	6	5	2	2	3	2	1	1	3	2
Thornton 59	1082	116	119	117	114	112	107	107	7	5	7	9	6	2	1	27	33	26	28	30	36	34	4	3	3	8	3	6	4	1	1	2	1	2	1
Thornton 60	936	110	100	105	106	99	92	100	4	5	15	6	4	0	4	21	17	14	18	26	30	26	4	1	5	2	5	6	1	3	2	2	2	0	1
Thornton 61	801	86	75	76	80	77	74	74	9	5	3	8	5	3	4	21	24	23	32	29	31	26	2	5	5	3	3	9	0	3	0	1	1	2	2
Thornton 62	468	36	30	36	28	24	29	27	3	2	1	2	3	2	1	28	31	28	35	35	36	35	4	1	5	1	1	0	1	0	0	1	1	0	1
Thornton 63	819	88	73	78	79	76	72	72	5	5	3	3	7	1	4	26	38	28	32	32	33	30	3	2	6	5	5	1	2	1	1	1	2	2	3
Thornton 64	1883	240	225	235	234	227	221	223	9	8	11	8	7	2	0	19	20	19	31	31	32	29	5	5	3	5	3	8	4	6	0	1	3	3	6
Thornton 65	1737	170	150	156	167	153	149	149	11	16	8	21	11	6	6	66	66	66	80	79	79	74	5	3	7	6	1	7	1	5	5	4	4	3	3
Thornton 66	2821	337	309	329	331	324	309	306	21	14	11	23	13	5	6	56	56	46	57	57	62	63	6	7	8	7	10	20	7	5	2	2	1	7	4
Thornton 67	1990	160	155	156	158	151	147	146	12	18	9	13	9	13	8	109	105	99	115	111	113	108	2	3	7	4	5	7	3	11	7	10	9	4	3
Thornton 68	1430	150	137	140	139	147	137	135	15	13	6	8	15	4	3	44	43	44	54	48	53	53	3	3	3	1	2	7	3	5	4	3	5	2	1
Thornton 69	972	110	97	103	103	104	100	92	7	7	9	6	5	1	2	22	27	19	31	28	28	29	4	3	7	3	1	8	2	2	2	2	2	2	4
Thornton 70	707	84	78	77	81	77	72	71	7	6	2	6	5	2	2	20	17	16	17	15	17	16	2	1	1	0	3	5	1	1	1	0	1	2	1
Thornton 71	782	94	84	86	85	85	78	82	5	4	5	7	4	0	2	21	18	19	20	18	22	17	3	2	1	4	2	7	3	1	0	1	1	1	0
Thornton 72	1616	201	187	198	190	184	175	181	16	11	10	10	6	4	6	26	27	25	32	33	38	32	2	1	3	2	1	6	4	1	2	1	1	0	0
Thornton 73	2240	252	235	241	245	240	220	228	13	8	9	13	8	7	8	62	67	60	70	62	71	72	5	3	9	7	2	4	4	4	1	4	3	2	1
Thornton 74	1578	199	176	187	184	185	171	174	8	3	8	14	8	2	1	28	26	25	32	38	37	31	3	1	6	4	3	9	7	1	0	1	2	0	4
Thornton 75	1536	171	160	166	161	161	156	161	14	7	9	6	4	1	3	36	40	35	48	52	48	47	9	5	4	4	2	8	3	4	0	0	3	2	6
Thornton 76	2065	245	224	225	230	223	214	209	15	9	15	13	12	10	8	48	48	46	54	53	57	57	2	5	3	7	4	8	2	5	3	3	3	3	2
Thornton 77	2281	281	252	259	261	256	249	240	19	10	19	22	10	6	5	43	40	39	52	46	50	50	8	4	7	7	5	12	11	4	2	2	1	5	4
Thornton 78	1804	217	200	211	204	202	198	205	10	10	12	11	6	5	4	27	34	26	46	48	44	43	6	3	5	3	4	8	5	1	1	1	1	1	2
Thornton 79	1883	201	183	195	193	194	179	184	15	14	10	19	8	2	3	50	54	49	64	65	71	61	6	5	9	6	3	5	4	8	3	3	7	3	7
Thornton 80	1795	215	200	204	204	197	193	191	11	5	13	17	13	5	4	38	36	27	45	38	45	38	6	6	6	4	4	10	4	5	2	2	2	1	4
Thornton 81	1550	182	173	178	174	173	172	171	5	4	6	5	3	3	2	36	42	36	40	43	40	35	3	4	1	2	1	5	1	4	2	0	0	2	2
Thornton 82	960	94	86	88	80	82	79	82	6	11	9	11	11	7	6	32	32	27	37	39	38	33	3	1	7	4	2	1	6	11	5	9	5	8	8
Thornton 83	2083	240	222	231	229	236	218	222	24	9	14	24	9	5	6	47	42	40	54	54	50	56	2	3	0	7	4	12	1	8	2	4	1	1	6
Thornton 84	2274	282	244	267	253	250	241	248	11	8	12	16	2	7	5	59	57	50	57	50	61	54	5	4	2	4	5	4	3	3	1	1	2	3	3
Thornton 85	1630	191	177	187	185	185	174	172	12	6	7	8	11	5	1	38	36	34	44	46	43	38	3	2	2	4	2	7	1	2	2	0	0	3	2
Thornton 86	1436	167	152	164	156	167	147	150	9	5	9	6	4	2	6	40	43	36	38	32	39	41	5	2	1	2	2	2	1	0	0	2	1	2	3
Thornton 87	2312	277	247	262	259	260	238	248	15	9	14	22	12	6	6	47	50	41	53	59	63	56	7	6	10	5	7	10	7	6	1	1	1	4	3
Thornton 88	1825	218	196	206	212	206	199	188	18	12	13	18	7	8	9	30	33	31	45	45	54	42	1	2	1	3	4	4	8	2	1	3	0	5	1
Thornton 89	2390	264	240	248	254	243	231	229	17	8	16	21	11	8	9	79	83	70	80	71	73	75	4	2	4	4	4	16	2	5	2	4	2	5	6
Thornton 90	1960	235	223	223	225	229	208	217	15	12	11	9	7	2	2	36	36	34	41	43	47	42	5	6	7	6	5	14	3	5	3	1	2	2	4
Thornton 91	1750	218	201	213	206	216	193	197	12	9	11	10	6	3	9	28	26	25	30	34	38	27	4	1	2	2	3	6	4	2	2	2	2	4	4
Thornton 92	1852	206	192	190	190	190	179	183	19	10	14	16	17	2	6	46	45	38	64	57	68	63	6	2	4	9	3	6	3	6	2	2	3	5	6
Thornton 93	1084	131	112	113	116	112	111	108	16	5	6	10	6	2	3	22	22	22	33	31	36	28	2	4	3	1	4	6	3	5	3	4	1	2	1
Thornton 94	1935	232	217	227	219	216	214	209	16	10	18	17	9	7	5	29	34	29	48	44	49	41	9	4	8	4	4	3	5	2	0	1	0	1	4
Thornton 95	1137	141	125	128	126	121	119	119	11	5	11	6	3	2	2	18	23	20	31	26	34	30	5	4	0	6	5	4	3	3	1	1	3	1	0
Thornton 96	1159	130	112	121	124	117	113	121	6	6	9	7	9	5	4	30	32	34	35	34	35	31	3	4	4	6	4	7	5	3	1	2	2	1	2
Thornton 98	432	43	35	35	37	37	32	35	6	2	3	8	4	0	0	16	15	13	19	21	22	20	3	1	4	4	3	7	2	3	0	0	0	1	1
Thornton 99	1124	133	121	124	120	115	114	120	6	6	6	5	6	0	2	24	25	20	30	32	41	32	3	2	6	3	1	4	2	3	3	4	5	2	4
Thornton 100	828	86	77	78	81	76	76	82	6	2	5	7	4	1	2	32	31	31	36	30	36	31	0	1	0	2	3	4	1	3	1	0	1	1	1
Thornton 101	1224	153	141	145	147	141	134	139	7	6	8	6	1	3	3	25	21	16	26	25	22	21	2	4	3	3	3	4	2	3	2	1	2	3	2
Thornton 102	711	76	77	76	74	74	66	70	8	6	11	6	3	2	4	14	19	11	16	20	22	17	15	5	3	3	2	6	2	0	0	0	1	1	1
Thornton 103	847	107	92	99	95	95	94	97	7	6	5	5	1	2	3	15	13	14	17	19	22	15	4	2	5	2	1	4	0	1	1	2	2	0	0
Thornton 104	429	46	40	43	41	37	37	36	3	4	4	7	3	0	1	8	12	12	18	15	18	14	3	3	4	1	2	7	3	1	0	1	1	3	1
Thornton 105	1453	175	160	162	164	161	155	156	8	6	6	9	6	1	2	26	31	27	41	40	39	35	3	2	3	6	7	5	4	4	1	4	0	1	3
Thornton 106	999	126	112	115	116	118	109	113	11	5	5	5	6	1	0	16	17	14	20	18	25	22	4	2	4	3	2	5	0	1	1	0	0	1	2
Thornton 107	2769	351	304	324	321	321	303	304	19	12	17	22	11	7	7	46	42	38	56	61	60	61	8	3	3	9	6	8	3	11	4	6	3	7	11
Thornton 108	717	83	70	79	74	68	71	73	5	3	8	9	3	3	2	16	17	15	23	19	23	21	2	1	6	3	3	6	5	1	1	2	0	1	1
Thornton 109	954	104	91	99	99	94	96	92	5	3	5	8	4	3	4	23	24	24	37	28	31	37	6	5	5	6	2	9	5	0	1	1	0	1	2
Thornton 110	534	64	58	63	58	62	56	59	5	3	4	2	4	1	0	7	10	9	14	10	14	15	1	1	0	3	0	3	1	1	0	0	0	3	3
Thornton 111	1167	135	123	126	128	126	124	121	7	8	6	13	3	2	1	28	32	24	28	33	30	31	7	1	8	2	3	5	3	4	1	1	1	1	1
Thornton 112	669	57	43	45	44	44	44	40	9	7	4	2	5	1	1	38	38	41	44	45	46	44	4	3	6	2	4	3	1	1	1	0	1	1	0
Thornton 113	739	85	82	87	80	80	78	78	3	5	3	4	4	3	1	17	15	15	20	20	18	19	2	2	1	3	3	2	2	2	1	2	1	1	0
Thornton 114	1607	181	165	172	165	165	162	163	12	13	12	10	9	0	0	39	40	36	49	51	52	48	5	4	8	5	5	7	7	4	4	2	3	6	3
Thornton 115	1828	224	218	226	217	215	207	208	12	4	6	12	5	3	4	34	29	28	40	31	35	32	5	2	4	4	5	9	3	1	1	2	1	1	0
Thornton 116	1553	168	141	154	154	148	149	142	17	10	14	12	8	4	5	55	50	48	56	53	64	53	8	4	9	4	5	8	2	1	3	2	1	0	1
Thornton 117	1918	218	198	213	199	209	200	198	10	8	7	11	6	2	4	45	52	44	62	63	62	62	5	2	4	3	5	4	1	4	2	3	2	7	3
Thornton 118	1953	210	194	196	193	196	188	191	15	16	19	12	12	8	8	58	65	61	63	66	60	60	5	3	5	4	5	3	4	8	5	4	1	7	8
Thornton 119	1318	158	145	148	142	145	133	131	13	8	7	8	6	3	2	22	25	26	37	33	39	40	10	7	4	6	5	8	1	3	0	1	0	1	1
Thornton 120	2918	349	322	337	335	337	317	323	22	17	11	15	16	4	7	53	56	51	71	71	68	65	7	7	5	11	6	11	7	3	3	3	3	2	3
Thornton 121	1230	149	132	138	138	131	134	133	12	9	12	10	5	2	0	23	23	21	33	30	37	30	5	1	4	5	4	5	2	1	0	0	0	0	1
Thornton 122	2191	239	224	237	240	229	227	226	20	9	19	21	10	7	8	52	52	50	67	60	68	63	5	4	7	8	5	15	3	6	0	1	1	5	3
Thornton 123	1153	151	137	141	139	139	140	136	10	5	6	10	4	2	4	13	11	12	15	13	19	14	4	2	3	5	4	5	1	1	1	2	0	2	2
